SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,D,C,D,C,D,B,D,C,C,A,A,A,A,A,A,B,A,A,A,A,A,A,B,C,A,B,B,B,A
  SSNAP score,56.5,58.9,62.2,54.9,67,59.8,72.7,57.2,65.7,63.9,84,88,85,86,80.8,81,80,96.0,96.0,90.3,93.0,89.3,92.0,74.3,66.2,88.0,74.3,70.3,76.5,84.5
  Case ascertainment band,B,B,B,C,B,C,B,D,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,C,C,A,C,C,A,A
  Audit compliance band,D,D,D,D,D,B,C,B,C,C,A,A,A,A,B,A,A,A,A,A,A,A,A,B,B,A,B,B,C,B
  Combined Total Key Indicator level,B,B,B,B,A,B,A,A,B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator score,70,73,77,76,83,74,85,86,73,71,84,88,85,86,85.0,81,80,96.0,96.0,95.0,93.0,94.0,92.0,92.0,82.0,88.0,92.0,87.0,85.0,89.0
Number of records completed: Team-centred post-72h all teams cohort,325,311,285,285,285,260,295,223,272,278,308,310,352,285,361,370,376,303,284,266,298,266,307,265,282,298,241,252,290,284
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,D,D,C,D,C,C,D,E,D,C,C,C,D,D,D,A,A,B,B,B,B,B,B,A,A,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,B,A,B,A,A,B,A,A,B,B,A,A,B,A,A,B,B,A,A,A,A,A,B,A,B,A,A,B,B,A
Patient-centred Domain levels: 4) Specialist Assessments,C,C,B,C,B,C,B,B,D,C,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B
