SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,B,C,A,A,A,A,B,A,B,C,B,A,B,B,A,A,A,A,A,B,B,B,D,D,C,D,C,C,C
  SSNAP score,70,68.2,80.1,88.2,88,85,77.5,86.2,78.7,62.4,77.1,84.3,74.5,72,83.6,88,84.7,81.9,85.0,73.7,72.7,73.9,57.1,57.8,61.9,48.5,64.6,63.6,60.2
  Case ascertainment band,B,A,A,A,A,A,A,B,A,C,B,B,A,A,B,A,B,A,A,A,B,A,C,C,B,D,B,B,B
  Audit compliance band,C,E,D,B,B,B,D,B,D,D,D,C,D,D,B,B,B,C,B,D,D,C,D,E,E,E,E,D,D
  Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B
  Combined Total Key Indicator score,81.9,85.2,94.3,92.9,92.6,89.5,91.2,95.5,92.6,86.4,95.5,98.6,87.6,84.8,92.6,92.6,93.8,91.0,89.5,86.7,90.0,82.1,79.0,85.0,81.4,86.7,85.0,78.8,74.5
Number of records completed: Team-centred post-72h all teams cohort,40,40,46,52,56,54,64,52,47,38,64,45,61,50,47,50,49,49,45,38,35,51,34,41,55,41,50,42,40
Patient-centred Domain levels: 2) Stroke unit,A,B,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B,C,D,C,B,A,B,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,C,C,B,B,C,C,C,C,C,C,C
Patient-centred Domain levels: 8) MDT working,D,E,E,D,C,D,D,B,D,D,B,B,C,D,C,C,B,D,D,E,E,E,E,D,D,D,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,C,B,A,B,B,B,B,B,B,D,B,A,B,B,B,B,B,B,A,A,A,B,A,A,B,A,A,A,D
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,A,B,B,B,C
Patient-centred KI level Patient-centred Total KI score,77.1,77.1,88.6,85.7,88.6,85.7,85.7,94.3,88.6,82.9,94.3,97.1,88.6,82.9,88.6,88.6,94.3,88.6,85.7,80.0,80.0,74.3,71.4,80.0,82.9,80.0,80.0,74.3,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,A,A,A,B,A,B,D,B,A,B,B,B,A,A,B,A,C,C,C,D,D,C,D,C,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,66,61.7,75.3,81.4,84.1,81.4,72.9,85.1,75.3,59.9,76.1,83.1,75.3,70.4,79.9,84.1,85.1,79.7,81.4,68.0,64.6,66.9,51.6,54.4,63.0,44.8,60.8,60.0,53.1
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,B,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 7) Speech and Language therapy,B,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,B,C,C,A,C,C,C,D,C,C,C,D
Team-centred Domain levels: 9) Standards by discharge,C,B,A,A,B,C,B,B,B,D,B,A,D,C,B,B,C,B,A,A,A,B,A,B,D,A,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI score,86.7,93.3,100,100,96.7,93.3,96.7,96.7,96.7,90,96.7,100,86.7,86.7,96.7,96.7,93.3,93.3,93.3,93.3,100.0,90.0,86.7,90.0,80.0,93.3,90.0,83.3,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,A,A,A,A,A,A,A,C,B,A,B,B,A,A,A,A,A,B,A,A,C,C,C,D,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,74.1,74.7,85,95,91.8,88.7,82.2,87.2,82.2,65,78.1,85.5,73.7,73.7,87.2,91.8,84.2,84.0,88.7,79.3,80.8,81.0,62.6,61.2,60.8,52.3,68.4,67.3,67.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,90,94,83,79,91,101,103,107,100,118,107,115,128,118,107,105,95,111,91,97,84,82,90,82,90,107,122,137
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,1,1,1,1,1,1,1,0.99,1,1,1,1,100%,1,1,100%,100%,100%,100%,99%,100%,100%,100%,99%,99%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0%,0.01,0,16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%
