SSNAP Scoring Summary:,2019-10-01
SSNAP level,B
SSNAP score,70.8
Case ascertainment band,A
Audit compliance band,D
Combined Total Key Indicator level,A
Combined Total Key Indicator score,83.3
Number of records completed: Team-centred post-72h all teams cohort,25
Patient-centred Domain levels: 2) Stroke unit,A
Patient-centred Domain levels: 5) Occupational therapy,B
Patient-centred Domain levels: 6) Physiotherapy,A
Patient-centred Domain levels: 7) Speech and Language therapy,B
Patient-centred Domain levels: 8) MDT working,C
Patient-centred Domain levels: 9) Standards by discharge,B
Patient-centred Domain levels: 10) Discharge processes,C
Patient-centred KI level Patient-centred Total KI level,B
Patient-centred KI level Patient-centred Total KI score,80
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C
Patient-centred SSNAP level Patient-centred SSNAP score,68
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,A
Team-centred Domain levels: 6) Physiotherapy,A
Team-centred Domain levels: 7) Speech and Language therapy,B
Team-centred Domain levels: 9) Standards by discharge,B
Team-centred Domain levels: 10) Discharge processes,C
Team-centred KI level Team-centred Total KI level,A
Team-centred KI level Team-centred Total KI score,86.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B
Team-centred SSNAP level Team-centred SSNAP score,73.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),33
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.67
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),24
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.73
