SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,C,D,D,D,D,C,C,TFP,TFP,D,B,B,B,TFP,C,C,TFP,TFP,B,C,TFP,D,D,C,TFP,TFP,TFP,TFP,D,TFP
SSNAP score,69.3,56.1,53.1,55.1,59.8,63.9,60.3,.,.,59.8,74.4,72.8,74.7,.,67.1,67.2,.,.,71.9,69.9,.,57.1,48.3,69.7,.,.,.,.,53.2,.
Case ascertainment band,A,A,A,A,A,A,A,,,B,A,A,A,A,B,A,,,B,A,,C,D,A,,,A,,A,
Audit compliance band,B,D,C,B,B,C,C,TFP,TFP,D,B,B,A,B,B,C,TFP,TFP,A,C,TFP,B,B,A,TFP,TFP,B,TFP,B,TFP
Combined Total Key Indicator level,B,C,D,D,C,B,C,TFP,TFP,B,B,B,B,TFP,B,B,TFP,TFP,B,B,TFP,B,B,C,TFP,TFP,TFP,TFP,D,TFP
Combined Total Key Indicator score,73,66,59,58,63,71,67,.,.,74,78.3,76.7,74.7,.,74.3,74.7,.,.,75.7,77.7,.,70.7,72.7,69.7,.,.,.,.,56.0,.
Number of records completed: Team-centred post-72h all teams cohort,24,28,23,30,34,31,27,Too few to report,Too few to report,24,22,26,23,22,26,24,Too few to report,Too few to report,28,26,Too few to report,21,23,24,Too few to report,Too few to report,21,Too few to report,36,Too few to report
Patient-centred Domain levels: 1) Scanning,C,A,C,B,C,B,C,Too few to report,Too few to report,C,A,A,B,Too few to report,B,A,Too few to report,Too few to report,A,B,Too few to report,A,A,A,Too few to report,Too few to report,Too few to report,Too few to report,C,Too few to report
Patient-centred Domain levels: 2) Stroke unit,A,A,C,B,B,B,C,Too few to report,Too few to report,C,B,B,C,A,B,B,Too few to report,Too few to report,B,E,Too few to report,C,C,B,Too few to report,Too few to report,A,Too few to report,C,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,A,C,D,D,C,C,D,Too few to report,Too few to report,C,B,C,B,Too few to report,A,A,Too few to report,Too few to report,B,D,Too few to report,C,A,A,Too few to report,Too few to report,Too few to report,Too few to report,E,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,B,A,B,B,B,A,B,Too few to report,Too few to report,B,B,A,B,Too few to report,B,B,Too few to report,Too few to report,A,C,Too few to report,B,A,B,Too few to report,Too few to report,Too few to report,Too few to report,B,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,C,A,A,A,Too few to report,Too few to report,A,A,A,A,A,A,A,Too few to report,Too few to report,A,A,Too few to report,A,A,C,Too few to report,Too few to report,C,Too few to report,B,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,C,A,A,A,Too few to report,Too few to report,A,A,A,A,A,A,B,Too few to report,Too few to report,A,A,Too few to report,A,A,B,Too few to report,Too few to report,B,Too few to report,C,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,Too few to report,Too few to report,C,C,C,C,C,C,A,Too few to report,Too few to report,A,A,Too few to report,B,C,B,Too few to report,Too few to report,C,Too few to report,C,Too few to report
Patient-centred Domain levels: 8) MDT working,D,C,C,D,C,C,C,Too few to report,Too few to report,C,C,B,B,A,A,A,Too few to report,Too few to report,B,C,Too few to report,B,B,B,Too few to report,Too few to report,A,Too few to report,B,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,A,D,D,C,D,C,B,Too few to report,Too few to report,D,B,B,B,B,B,B,Too few to report,Too few to report,B,A,Too few to report,B,B,B,Too few to report,Too few to report,B,Too few to report,B,Too few to report
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C,D,D,C,Too few to report,Too few to report,C,C,D,D,D,D,D,Too few to report,Too few to report,C,C,Too few to report,D,D,E,Too few to report,Too few to report,D,Too few to report,D,Too few to report
Patient-centred KI level Patient-centred Total KI level,B,C,C,D,C,B,C,TFP,TFP,C,B,B,B,TFP,A,A,TFP,TFP,A,B,TFP,B,A,B,TFP,TFP,TFP,TFP,C,TFP
Patient-centred KI level Patient-centred Total KI score,72,68,60,58,64,70,66,.,.,68,80,80,76,.,82.0,86,.,.,88.0,72.0,.,78.0,82.0,76.0,.,.,.,.,62.0,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,D,D,C,C,D,TFP,TFP,D,B,B,B,TFP,B,B,TFP,TFP,A,C,TFP,C,D,B,TFP,TFP,TFP,TFP,D,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,68.4,57.8,54,55.1,60.8,63,59.4,.,.,54.9,76,76,76,.,74.0,77.4,.,.,83.6,64.8,.,63.0,54.5,76.0,.,.,.,.,58.9,.
Team-centred Domain levels: 1) Scanning,C,A,C,B,C,B,C,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,A,B,C,B,B,B,C,Too few to report,Too few to report,A,A,A,A,A,A,A,Too few to report,Too few to report,A,A,Too few to report,A,A,A,Too few to report,Too few to report,A,Too few to report,A,Too few to report
Team-centred Domain levels: 3) Thrombolysis,A,D,D,D,D,B,D,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,B,A,B,B,B,A,A,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,B,C,A,C,A,A,A,Too few to report,Too few to report,A,A,A,A,B,B,C,Too few to report,Too few to report,E,C,Too few to report,D,D,D,Too few to report,Too few to report,C,Too few to report,E,Too few to report
Team-centred Domain levels: 6) Physiotherapy,A,A,A,C,A,A,A,Too few to report,Too few to report,A,A,A,A,B,B,B,Too few to report,Too few to report,B,A,Too few to report,C,B,B,Too few to report,Too few to report,A,Too few to report,D,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,Too few to report,Too few to report,E,E,E,E,D,E,E,Too few to report,Too few to report,D,B,Too few to report,C,D,C,Too few to report,Too few to report,C,Too few to report,E,Too few to report
Team-centred Domain levels: 8) MDT working,C,C,D,D,C,C,C,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,A,D,D,C,D,C,B,Too few to report,Too few to report,A,B,B,B,B,B,B,Too few to report,Too few to report,B,A,Too few to report,B,B,B,Too few to report,Too few to report,Too few to report,Too few to report,B,Too few to report
Team-centred Domain levels: 10) Discharge processes,D,D,D,C,D,D,C,Too few to report,Too few to report,C,C,D,D,D,D,D,Too few to report,Too few to report,C,C,Too few to report,D,D,E,Too few to report,Too few to report,Too few to report,Too few to report,D,Too few to report
Team-centred KI level Team-centred Total KI level,B,C,D,D,C,B,C,TFP,TFP,B,B,B,B,TFP,C,C,TFP,TFP,C,A,TFP,C,C,C,TFP,TFP,TFP,TFP,D,TFP
Team-centred KI level Team-centred Total KI score,74,64,58,58,62,72,68,.,.,80,76.7,73.3,73.3,.,66.7,63.3,.,.,63.3,83.3,.,63.3,63.3,63.3,.,.,.,.,50.0,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,D,D,D,D,C,C,TFP,TFP,C,B,C,B,TFP,C,D,TFP,TFP,C,B,TFP,D,D,C,TFP,TFP,TFP,TFP,D,TFP
Team-centred SSNAP level Team-centred SSNAP score,70.3,54.4,52.2,55.1,58.9,64.8,61.2,.,.,64.6,72.8,69.7,73.3,.,60.2,57,.,.,60.2,75.0,.,51.1,42.1,63.3,.,.,.,.,47.5,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,30,27,32,26,25,36,34,33,29,19,22,28,25,15,16,21,20,28,39,34,29,35,37,26,22,20,22,20,24
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.67,0.77,0.78,0.7,0.66,0.73,0.67,0.72,0.71,0.86,0.79,0.76,0.76,60%,0.7,0.88,87%,82%,89%,94%,91%,85%,86%,81%,67%,67%,88%,95%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,7,19,28,24,24,27,23,28,27,19,22,27,24,13,15,18,13,18,17,10,14,15,13,8,11,14,13,6,5
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.23,0.7,0.88,0.92,0.96,0.75,0.68,0.85,0.93,1,1,0.96,0.96,87%,0.94,0.86,65%,64%,44%,29%,48%,43%,35%,31%,50%,70%,59%,30%,21%
