SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,E,D,E,D,D,B,C,C,C,D,B,B,B,B,D,B,B,C,D,C,D,D,C,B,B,B,C,D,A
  SSNAP score,43.7,38.9,41.4,37.9,51.9,54.2,77.3,62.1,61.2,62.3,57.6,70.3,79,70.7,71.3,56.9,72.7,75.7,65.0,53.5,63.0,56.4,48.9,66.5,70.3,77.0,72.0,69.3,55.1,81.3
  Case ascertainment band,A,A,A,B,A,A,A,B,A,B,B,A,A,A,A,C,A,A,A,A,A,A,A,B,A,A,A,A,A,A
  Audit compliance band,B,B,C,B,B,B,B,C,D,B,A,A,A,A,A,A,A,A,A,B,B,B,C,A,A,A,A,A,B,A
  Combined Total Key Indicator level,D,D,D,D,D,D,A,B,B,C,C,B,B,B,B,C,B,B,C,D,C,D,D,B,B,B,B,C,D,A
  Combined Total Key Indicator score,46,41,46,42,54.7,57,81.3,72.7,72,69,60.7,70.3,79,70.7,71.3,67,72.7,75.7,65.0,56.3,66.3,59.3,54.3,70.0,70.3,77.0,72.0,69.3,58.0,81.3
Number of records completed: Team-centred post-72h all teams cohort,68,73,79,66,73,59,40,57,47,40,38,56,43,42,58,51,58,59,65,63,62,50,42,43,52,55,64,67,49,48
Patient-centred Domain levels: 1) Scanning,D,E,D,E,D,D,C,C,B,C,C,C,A,C,B,D,B,A,C,C,B,A,D,B,C,C,B,C,C,A
Patient-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,C,D,E,E,E,E,D,E,E,E,E,D,E,E,D,E,E,D,E,D,C,E,E,C
Patient-centred Domain levels: 3) Thrombolysis,D,E,C,E,C,E,C,D,D,C,C,D,B,C,D,E,C,B,E,D,C,E,E,D,E,B,E,B,C,C
Patient-centred Domain levels: 4) Specialist Assessments,D,E,E,E,D,E,C,C,B,C,D,E,C,D,D,D,C,B,D,E,D,D,E,C,C,C,C,E,D,B
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,C,A,A,A,B,A,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,B,A,A,B,C,B
Patient-centred Domain levels: 6) Physiotherapy,D,D,D,D,D,B,B,A,B,C,B,A,B,B,B,A,B,B,B,C,B,B,B,B,B,B,B,B,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,B,C,B,B,C,D,C,D,C,C,B,B,B,C,B,B,C,C,B,C,C,D,D,C,B
Patient-centred Domain levels: 8) MDT working,C,B,C,C,D,D,A,B,B,B,D,D,B,C,C,C,C,C,D,D,D,C,D,C,C,C,D,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,C,B,A,A,A,A,A,B,A,B,A
Patient-centred Domain levels: 10) Discharge processes,C,B,B,B,A,A,A,A,A,A,B,A,A,A,B,B,A,A,A,A,B,C,D,C,A,A,B,A,A,A
