SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,D,E,D,E,E,E,D
SSNAP score,12.2,32.3,38,27.9,33.3,29.8,34,30.6,21,32.3,41.4,26.1,30.6,39.1,34.2,29.1,27.9,16.1,27.0,34.2,35.7,37.8,43.2,27.2,41.8,34.0,36.9,35.1,45.0
Case ascertainment band,E,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A
Audit compliance band,D,D,A,C,B,D,D,D,D,D,C,C,C,D,C,C,C,D,C,C,D,C,C,D,B,D,C,C,C
Combined Total Key Indicator level,E,E,E,E,E,E,D,E,E,E,D,E,E,D,E,E,E,E,E,D,D,D,D,E,D,D,D,E,D
Combined Total Key Indicator score,24,38,38,31,35,35,40,36,26,38,46,29,34,46.0,38,34,31.0,20.0,30.0,40.0,42.0,42.0,48.0,32.0,44.0,40.0,41.0,39.0,50.0
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,37,31,38,45,45,26,32,23,31,33,55,44,38,43,23,38,27,42,24,31,49,46,40,37,41,40,40,39
Patient-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,D,E,D,C,D,E,B,D,D,D,E,D,B,C,C,D,D,D,D,C,B,D
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,C,D,C,C,D,E,B,D,C,D,C,D,D,E,E,E,C,E,D,E,D,D,D,E,C
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E,E,E,D,D,E,D,C,C,C,C,E,D,E,E,D,E,E,D,E,D,E,C
Patient-centred Domain levels: 4) Specialist Assessments,E,D,D,E,E,E,E,E,E,D,B,D,D,B,E,E,E,E,E,D,E,C,D,E,D,D,C,D,C
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,E,E,E,E,E,C,E,E,D,D,E,E,E,E,E,E,E,E,E,C,E,B,E,D,C,D,D,E
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,B,B,D,C,C,A,B,E,E,D,E,E,E,D,E,D,E,D,D,B,D,B,D,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,E,C,E,E,D,E,E,E,D
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,B,C,C,B,B,D,D,C,B,D,E,C,B,B,C,E,E,E,B,D,C,B,B,C,D,D,C,A
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,D,D,D,D,D,D,D,E,D,D,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D,E,E,E
Patient-centred KI level Patient-centred Total KI level,E,E,E,E,E,E,D,E,E,E,D,E,E,D,E,E,E,E,E,D,D,D,D,E,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,24,38,36,30,36,34,40,36,26,38,46,28,34,46.0,38,34,32.0,20.0,30.0,40.0,42.0,42.0,48.0,32.0,44.0,40.0,42.0,40.0,50.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,D,E,D,E,E,E,D
Patient-centred SSNAP level Patient-centred SSNAP score,12.2,32.3,36,27,34.2,28.9,34,30.6,21,32.3,41.4,25.2,30.6,39.1,34.2,29.1,28.8,16.1,27.0,34.2,35.7,37.8,43.2,27.2,41.8,34.0,37.8,36.0,45.0
Team-centred Domain levels: 1) Scanning,E,E,E,E,E,E,E,E,E,D,C,D,E,B,D,D,D,E,D,B,C,C,D,D,D,D,C,B,D
Team-centred Domain levels: 2) Stroke unit,D,C,C,D,D,D,C,C,D,E,B,D,C,D,C,D,D,E,E,E,C,E,D,E,D,D,D,E,C
Team-centred Domain levels: 3) Thrombolysis,E,E,E,E,E,E,E,E,E,D,D,E,D,C,C,C,C,E,D,E,E,D,E,E,D,E,D,E,C
Team-centred Domain levels: 4) Specialist Assessments,E,D,D,E,E,E,E,E,E,D,B,D,D,B,E,E,E,E,E,D,E,C,D,E,D,D,C,D,C
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,E,E,E,E,E,C,E,E,D,D,E,E,E,E,E,E,E,E,E,C,E,B,E,E,C,E,E,E
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,C,A,C,C,B,A,B,E,E,D,E,E,E,D,E,E,E,D,D,B,D,B,D,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,D,D,E,C,E,E,D,E,E,E,D
Team-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,D,E,D,E,D,E,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,B,C,C,B,B,D,D,C,B,D,E,C,B,B,C,E,E,E,B,D,C,B,B,B,D,D,C,A
Team-centred Domain levels: 10) Discharge processes,Insufficient records,D,Too few to report,D,D,D,D,D,E,D,D,D,D,D,E,D,D,E,D,D,D,D,D,D,D,D,E,E,E
Team-centred KI level Team-centred Total KI level,E,E,D,E,E,E,D,E,E,E,D,E,E,D,E,E,E,E,E,D,D,D,D,E,D,D,D,E,D
Team-centred KI level Team-centred Total KI score,24,38,40,32,34,36,40,36,26,38,46,30,34,46.0,38,34,30.0,20.0,30.0,40.0,42.0,42.0,48.0,32.0,44.0,40.0,40.0,38.0,50.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,D,E,D,E,E,E,D
Team-centred SSNAP level Team-centred SSNAP score,12.2,32.3,40,28.8,32.3,30.6,34,30.6,21,32.3,41.4,27,30.6,39.1,34.2,29.1,27.0,16.1,27.0,34.2,35.7,37.8,43.2,27.2,41.8,34.0,36.0,34.2,45.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,44,46,35,38,64,82,78,55,.,6,35,59,74,68,52,47,45,50,59,55,63,43,79,83,63,44,42,76
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.8,0.84,0.9,0.93,1,0.99,0.91,0.87,.,1,1,0.94,91%,0.94,0.84,85%,96%,85%,81%,85%,97%,91%,92%,89%,88%,94%,93%,94%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,44,43,27,18,26,27,51,40,.,5,33,58,73,67,51,44,20,49,41,25,31,21,78,79,60,44,24,32
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,1,0.93,0.77,0.47,0.41,0.33,0.65,0.73,.,0.83,0.94,0.98,99%,0.99,0.98,94%,44%,98%,69%,45%,49%,49%,99%,95%,95%,100%,57%,42%
