SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,B,B,C,B,A,B,B,A,A,A,A,B,A,B,A,B,B,C,C,D,C,C,C,C,C,C,C
SSNAP score,46.5,49.5,69.3,76,70.2,69.3,79,81,76,80,82.6,89,82.6,81,72.2,82,78,82.0,77.0,70.0,63.7,61.0,55.1,63.7,63.0,62.0,67.0,65.0,63.0,61.0
Case ascertainment band,A,A,A,A,A,A,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,A,B,B,A,A,A,A,A,A
Audit compliance band,B,C,B,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,B,B,B,B,B,A,B,B,A,A,A,A,B,A,B,A,B,B,C,C,D,C,C,C,C,C,C,C
Combined Total Key Indicator score,49,55,73,80,78,73,79,81,80,80,87,89,87,81,76.0,82,78,82.0,77.0,70.0,67.0,61.0,58.0,67.0,63.0,62.0,67.0,65.0,63.0,61.0
Number of records completed: Team-centred post-72h all teams cohort,259,269,233,264,267,250,216,213,214,245,203,184,197,213,206,224,220,248,262,239,203,215,198,211,240,218,233,230,228,260
Patient-centred Domain levels: 1) Scanning,C,C,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,D,D,C,D,E,E,D,D,E,C,B,B,D,C,E,E,D,E,E,E,E,E,E,E,E,C,C,D,D
Patient-centred Domain levels: 3) Thrombolysis,D,C,C,C,C,C,B,C,D,C,A,A,B,B,B,B,C,C,C,D,D,C,C,C,C,C,C,C,B,C
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,A,A,B,B,C
Patient-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,C,C,C,C,D,E,D,D,C
Patient-centred Domain levels: 6) Physiotherapy,C,C,A,A,A,A,A,B,A,A,B,A,A,B,B,B,A,A,B,B,C,C,D,C,D,D,D,D,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,C,D,D,C,C,C,C,D,D,D,E,D,B,C,C,C,C,D,D,C,C,D,D,D,D,D
Patient-centred Domain levels: 8) MDT working,C,B,A,B,B,B,B,B,B,B,B,B,B,C,C,B,C,B,B,C,C,C,C,C,C,C,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,E,E,D,C,B,B,A,A,B,A,A,A,B,A,A,A,A,B,A,A,A,B,B,A,B,B,B,B,B,C
Patient-centred Domain levels: 10) Discharge processes,E,D,B,A,B,B,B,B,A,B,A,A,A,A,C,A,A,A,A,A,A,C,C,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,C,C,B,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI score,48,54,72,78,78,74,78,80,80,80,86,90,86,80,76.0,80,80,82.0,78.0,72.0,70.0,62.0,60.0,70.0,66.0,64.0,66.0,66.0,66.0,62.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,B,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,B,C,C,D,C,C,C,C,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,45.6,48.6,68.4,74.1,70.2,70.3,78,80,76,80,81.7,90,81.7,80,72.2,80,80,82.0,78.0,72.0,66.5,62.0,57.0,66.5,66.0,64.0,66.0,66.0,66.0,62.0
Team-centred Domain levels: 1) Scanning,C,C,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,D,D,C,D,E,E,D,D,E,C,B,B,D,C,E,E,D,E,E,E,E,E,E,E,E,C,D,D,D
Team-centred Domain levels: 3) Thrombolysis,D,C,C,C,C,D,B,C,D,C,A,A,A,C,B,B,C,C,C,C,D,C,C,C,D,C,C,C,B,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,A,A,B,B,C
Team-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,C,C,D,C,D,E,E,D,E,D
Team-centred Domain levels: 6) Physiotherapy,C,B,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,B,C,D,D,D,D,D,E,D,D,E,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,D,C,C,C,C,C,D,D,D,E,C,C,C,D,C,D,D,E,D,D,D,D,D,E,D
Team-centred Domain levels: 8) MDT working,B,B,A,B,B,B,B,B,B,B,B,B,B,B,C,B,C,B,B,C,C,C,C,B,C,C,B,C,C,C
Team-centred Domain levels: 9) Standards by discharge,E,E,D,B,B,B,A,A,B,A,A,B,B,A,A,A,A,B,A,A,A,B,B,B,B,B,B,B,B,C
Team-centred Domain levels: 10) Discharge processes,E,D,B,A,B,B,B,B,A,B,A,A,A,A,C,A,A,A,A,A,A,C,C,B,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,B,A,B,B,B,A,B,B,A,A,A,A,B,A,B,A,B,C,C,C,D,C,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI score,50,56,74,82,78,72,80,82,80,80,88,88,88,82,76.0,84,76,82.0,76.0,68.0,64.0,60.0,56.0,64.0,60.0,60.0,68.0,64.0,60.0,60.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,B,B,B,C,B,A,B,B,A,A,A,A,B,A,B,A,B,C,C,C,D,C,C,C,C,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,47.5,50.4,70.3,77.9,70.2,68.4,80,82,76,80,83.6,88,83.6,82,72.2,84,76,82.0,76.0,68.0,60.8,60.0,53.2,60.8,60.0,60.0,68.0,64.0,60.0,60.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,312,375,426,460,445,400,293,176,149,185,204,223,213,212,266,248,390,328,294,262,287,277,253,232,249,247,252,244,270
