SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01
SSNAP level,D,D,C,B,A,A,C,B
SSNAP score,50.6,53,69.8,77.6,86.3,83.9,69.4,77.8
Case ascertainment band,C,C,B,A,A,A,B,B
Audit compliance band,D,E,C,B,A,B,D,C
Combined Total Key Indicator level,B,B,A,A,A,A,A,A
Combined Total Key Indicator score,70,78,81.7,81.7,86.3,88.3,86,91
Number of records completed: Team-centred post-72h all teams cohort,33,33,44,36,44,55,43,32
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,C,B,B,B,C,B
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,B,A,A,C,A
Patient-centred Domain levels: 4) Specialist Assessments,C,B,B,C,B,A,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,A,B,B,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,B,B,B,A,A
Patient-centred Domain levels: 8) MDT working,C,C,B,D,C,B,D,B
Patient-centred Domain levels: 9) Standards by discharge,D,C,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,B,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,B,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,70,76,80,80,86,90,82,92
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,B,A,A,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,50.6,51.7,68.4,76,86,85.5,66.2,78.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,A,B,A,B,A
Team-centred Domain levels: 7) Speech and Language therapy,D,C,C,C,C,C,B,B
Team-centred Domain levels: 9) Standards by discharge,D,C,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,B,B,B,C,A,B,A,B
Team-centred KI level Team-centred Total KI level,B,B,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,70,80,83.3,83.3,86.7,86.7,90,90
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,B,B,A,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,50.6,54.4,71.3,79.2,86.7,82.3,72.7,77
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,62,51,60,76,76,69,71
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,0.94,0.94,0.97,0.95,0.93,0.93
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,3,3,1,6,11,13,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.05,0.06,0.02,0.08,0.14,0.19,0.31
