SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,B,C,B,C,B,C,C,A,A,B,A,A,A,A,C,C,B,C,C,C,C,C,C,C,B,B,B
SSNAP score,59.4,51.3,69.5,72.2,66.6,70.2,68.4,71.1,69.3,60.8,82,81.7,80,82,87.0,87,89,66.8,63.2,70.4,68.0,64.6,68.4,69.0,69.0,66.5,69.3,71.0,74.0,77.0
Case ascertainment band,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,B,B,B,C,C,C,C,B,B,A,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,B,A,A,A
Combined Total Key Indicator level,C,D,B,B,B,B,B,B,B,C,A,A,B,A,A,A,A,B,B,B,C,C,B,C,C,B,B,B,B,B
Combined Total Key Indicator score,66,54,77,80,74,78,76,79,73,64,82,86,80,82,87.0,87,89,74.0,70.0,78.0,68.0,68.0,72.0,69.0,69.0,70.0,73.0,71.0,74.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,127,115,99,97,144,179,135,126,143,129,136,133,176,142,149,129,149,122,130,120,171,144,146,158,148,182,146,170,150,141
Patient-centred Domain levels: 1) Scanning,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,A,A,B,B,B,C,C,C,C,B,C,C,B,C,B
Patient-centred Domain levels: 2) Stroke unit,B,B,B,B,C,C,B,B,C,E,B,B,C,C,C,C,B,E,E,E,E,E,E,E,E,E,D,D,D,C
Patient-centred Domain levels: 3) Thrombolysis,A,B,A,B,B,B,A,B,C,C,C,B,C,D,C,C,C,D,E,C,D,D,D,D,D,D,D,D,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,E,A,A,A,A,B,B,B,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,A
Patient-centred Domain levels: 6) Physiotherapy,D,E,A,A,A,B,B,B,A,B,C,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,B,D,B,C,B,E,C,B,B,C,C,C,C,B,C,D,D,E,E,C,E,E,D,B,C,C,E
Patient-centred Domain levels: 8) MDT working,B,B,B,A,B,B,B,A,B,B,A,A,A,A,A,A,A,B,B,B,B,B,B,C,B,B,B,A,A,B
Patient-centred Domain levels: 9) Standards by discharge,D,E,E,E,D,C,D,C,B,D,A,B,B,A,A,A,A,B,B,A,A,B,B,A,A,B,B,B,B,A
