SSNAP Scoring Summary:,2024-04-01
SSNAP level,TFP
SSNAP score,.
Audit compliance band,TFP
Combined Total Key Indicator level,TFP
Combined Total Key Indicator score,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report
Patient-centred Domain levels: 2) Stroke unit,E
Patient-centred Domain levels: 5) Occupational therapy,E
Patient-centred Domain levels: 6) Physiotherapy,A
Patient-centred Domain levels: 7) Speech and Language therapy,E
Patient-centred Domain levels: 8) MDT working,D
Patient-centred Domain levels: 9) Standards by discharge,A
Patient-centred Domain levels: 10) Discharge processes,B
Patient-centred KI level Patient-centred Total KI level,Not included in scoring
Patient-centred KI level Patient-centred Total KI score,.
Patient-centred SSNAP level Patient-centred SSNAP score,.
Team-centred Domain levels: 2) Stroke unit,Too few to report
Team-centred Domain levels: 5) Occupational therapy,Too few to report
Team-centred Domain levels: 6) Physiotherapy,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report
Team-centred Domain levels: 9) Standards by discharge,Too few to report
Team-centred Domain levels: 10) Discharge processes,Too few to report
Team-centred KI level Team-centred Total KI level,Too few to report
Team-centred KI level Team-centred Total KI score,.
Team-centred SSNAP level Team-centred SSNAP score,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),15
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),79%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),13%
