SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,D,D,C,D,D,D,C,D,B,A,A,A,A,B,A,A,A,B,C,B,A,A,B,B,B,B,B,B
SSNAP score,32.5,39.6,43.7,53.2,63.7,53.3,54,45.9,62.3,58.9,73.1,87,89,92,93.0,79,98,90.0,83.0,74.1,62.9,78.0,90.0,89.0,75.0,76.0,79.0,80.0,74.0,77.0
Case ascertainment band,B,A,A,B,A,C,A,A,B,A,A,A,A,A,A,A,A,A,A,B,C,A,A,A,B,A,A,A,A,A
Audit compliance band,C,C,B,B,B,B,A,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,D,D,D,C,C,D,D,C,C,B,A,A,A,A,B,A,A,A,B,B,B,A,A,B,B,B,B,B,B
Combined Total Key Indicator score,38,44,46,59,67,66,54,51,69,62,77,87,89,92,93.0,79,98,90.0,83.0,78.0,74.0,78.0,90.0,89.0,79.0,76.0,79.0,80.0,74.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,41,53,49,46,39,36,36,49,30,45,47,41,56,44,52,43,51,52,44,33,33,60,44,53,31,45,58,37,42,46
Patient-centred Domain levels: 1) Scanning,D,D,E,E,C,D,D,E,C,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,D,C,C,D,D,C,D,C,A,A,B,A,A,A,A,B,C,B,B,C,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,B,A,B,C,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,D,C,A,B,B,A,C,C,B,D
Patient-centred Domain levels: 4) Specialist Assessments,D,B,D,B,B,B,B,A,B,C,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,E,E,C,C,C,C,D,E,A,A,C,A,A,A,A,B,A,A,B,B,C,B,A,A,A,C,A,A,C,B
Patient-centred Domain levels: 6) Physiotherapy,E,E,C,B,C,B,D,E,B,B,B,B,A,B,A,B,B,B,C,C,B,B,B,A,C,C,B,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,D,C,B,C,E,D,E,B,B,A,A,A,E,A,A,B,C,B,C,B,C,E,E,E,E,E,D
Patient-centred Domain levels: 8) MDT working,E,E,E,C,B,C,E,E,E,E,D,B,B,B,A,B,A,B,B,C,D,C,C,B,B,C,C,B,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,D,D,D,D,C,C,D,B,B,B,A,B,B,A,B,A,B,A,A,A,A,A,B,B,B,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,B,B,B,A,C,A,A,C,C,C,C,C,C,C,A,B,B,C,B,A,A,A,A,A,A,A,A,A
