SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
SSNAP score,92,93,89,90,90.0,88,91,83.0,82.0,82.0,78.0,85.0,86.0,88.0,89.0,89.0,90.0,91.0,94.0,93.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,92,93,89,90,90.0,88,91,83.0,82.0,82.0,78.0,85.0,86.0,88.0,89.0,89.0,90.0,91.0,94.0,93.0
Number of records completed: Team-centred post-72h all teams cohort,229,190,206,190,285,259,249,250,235,277,245,262,274,277,298,293,291,269,295,292
Patient-centred Domain levels: 1) Scanning,A,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,C,C,B,B,B,B,C,C,C,C,C,C,C,C,B,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,A,A,B,B,B,B,B,C,C,B,C,B,B,C,B,B,B,B,A,B
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,A,A,A,A,A,A,B,B,B,C,B,B,B,B,C,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,A,A,A,B,B,B,B,A,B,B,B,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,B,C,B,C,C,B,B,B,B,B,B,B,B,A
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,92,94,90,90,90.0,90,92,82.0,82.0,82.0,76.0,86.0,86.0,88.0,90.0,90.0,90.0,92.0,94.0,94.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,92,94,90,90,90.0,90,92,82.0,82.0,82.0,76.0,86.0,86.0,88.0,90.0,90.0,90.0,92.0,94.0,94.0
Team-centred Domain levels: 1) Scanning,A,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,B,C,C,B,B,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B
Team-centred Domain levels: 3) Thrombolysis,A,A,B,B,B,B,B,C,C,B,C,B,B,C,B,B,B,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A,B,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,C,B,B,B,B
