SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,D,E,D,D,D,E,E,D,D,D,C,D,D,D,D,D,E,D,C,D,D,D,D,D,D,C,C,D,D,D
  SSNAP score,44.2,38.8,41.6,50.1,40.3,39,36.8,45.9,46.8,56.5,60.3,50.5,46.2,41.4,41.4,46.5,38.9,58.1,60.1,56.7,51.3,52.5,47.9,47.5,53.5,60.2,60.0,49.4,57.3,40.9
  Case ascertainment band,A,B,A,B,B,C,A,A,A,B,A,C,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
  Audit compliance band,D,D,E,D,E,D,E,D,D,D,C,C,C,C,C,B,B,D,D,C,C,C,D,B,D,B,C,B,B,B
  Combined Total Key Indicator level,D,D,D,C,D,D,D,D,D,B,C,C,D,D,D,D,D,C,B,C,D,D,D,D,C,C,C,D,C,D
  Combined Total Key Indicator score,52,48,52,62,53,54,46,54,55,70,67,66,54,46,46.0,49,41,68.3,70.7,63.0,57.0,58.3,59.3,50.0,63.0,63.3,66.7,52.0,60.3,43.0
Number of records completed: Team-centred post-72h all teams cohort,85,86,101,89,96,79,96,113,107,90,91,82,86,112,98,100,101,45,54,52,38,59,59,69,53,57,59,58,72,65
Patient-centred Domain levels: 1) Scanning,B,A,B,A,A,A,B,A,A,A,A,A,B,B,A,B,C,C,D,D,C,D,C,D,C,C,C,C,C,D
Patient-centred Domain levels: 2) Stroke unit,E,D,D,C,E,D,D,D,D,C,D,C,D,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,E,D,D,C,D,D,D,B,D,D,D,E,D,D,E,E,E,E,D,E,E,E,D,C,E,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,D,E,D,D,D,D,D,D,D,E,D,D,D,D,E,D,E,E,D,C,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,B,D,B,A,B,A,B,C,B,A,A,A,C,D,D,E,D,A,A,A,C,B,C,C,C,C,C,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,D,A,B,B,B,D,C,C,C,A,B,D,D,E,D,D,A,B,B,C,B,B,B,B,B,B,B,B,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,E,E,E,D,C,D,C,D,D,E,E,E,C,C,D,D,D,D,C,C,C,B,C,C,D
Patient-centred Domain levels: 8) MDT working,C,B,C,B,C,C,C,C,D,C,C,B,B,C,C,B,C,D,D,D,D,E,E,E,E,E,D,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,D,D,D,D,D,D,D,D,D,D,C,D,D,C,C,B,D,B,B,A,B,B,B,A,A,A,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,A,C,D,D,E,E,D,C,B,B,B,C,B,B,C,C,B,B,A,B,A,A,A,A,A,A,A,B,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,D,D,D,D,D,C,C,C,D,D,D,D,D,C,D,D,D,D,D,D,D,C,C,D,D,D
