SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,E,E,E,D,D,D,D,D,B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C
  SSNAP score,26.4,33.6,32.8,33.6,36.8,44.2,41.6,49.3,51.3,43.2,77,75,70,70,76.0,68,66,57.0,54.0,58.0,59.0,48.0,52.0,55.0,58.0,62.0,68.0,59.0,67.0,61.0
  Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,E,E,E,E,E,D,D,D,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,E,D,D,D,D,D,D,D,D,D,B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C
  Combined Total Key Indicator score,33,42,41,42,46,52,49,58,57,48,77,75,70,70,76.0,68,66,57.0,54.0,58.0,59.0,48.0,52.0,55.0,58.0,62.0,68.0,59.0,67.0,61.0
Number of records completed: Team-centred post-72h all teams cohort,140,129,129,132,138,147,125,139,144,151,170,144,190,191,175,156,205,191,187,186,163,205,191,189,207,225,202,185,206,275
Patient-centred Domain levels: 1) Scanning,C,B,C,C,C,B,C,C,C,C,C,C,C,B,B,B,B,C,C,A,B,B,B,B,B,B,A,B,B,B
Patient-centred Domain levels: 2) Stroke unit,C,D,D,D,D,D,C,C,C,D,C,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,D,E,D,D,C,C,D,C,C,D,C,B,C,B,D,D,D,C,D,D,D,D,C,C,D,C,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,D,C,C,C,B,C,D,A,A,A,A,A,A,B,C,C,C,B,B,B,A,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,C,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,B,C,C,C,E,D,E,D,C,B,C,B,C
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,D,D,D,E,D,C,D,A,A,B,B,B,B,C,C,C,D,C,D,E,D,C,C,C,D,B,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,D,D,E,D,D,D,E,E,E,E,D,D,C,D,E,D,D,C,C,C,D,D,D
Patient-centred Domain levels: 8) MDT working,D,D,D,E,D,D,D,D,D,D,C,D,C,C,C,D,D,E,E,E,E,E,E,E,E,E,D,D,D,E
Patient-centred Domain levels: 9) Standards by discharge,E,D,D,C,B,B,C,B,C,C,B,B,B,A,A,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,E,E,E,E,E,D,C,C,C,C,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,E,D,D,D,D,D,D,D,D,D,B,B,C,B,B,C,C,D,D,D,C,D,D,D,C,C,B,C,C,C
Patient-centred KI level Patient-centred Total KI score,32,42,40,40,44,52,48,58,56,46,76,74,68,70,76.0,68,66,58.0,54.0,58.0,60.0,50.0,54.0,56.0,60.0,64.0,70.0,60.0,68.0,62.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,D,B,B,C,B,B,C,C,D,D,D,C,D,D,D,C,C,B,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,25.6,33.6,32,32,35.2,44.2,40.8,49.3,50.4,41.4,76,74,68,70,76.0,68,66,58.0,54.0,58.0,60.0,50.0,54.0,56.0,60.0,64.0,70.0,60.0,68.0,62.0
Team-centred Domain levels: 1) Scanning,C,B,C,B,C,B,C,C,C,C,C,C,C,B,B,B,B,C,C,A,B,B,B,B,B,C,A,B,B,B
Team-centred Domain levels: 2) Stroke unit,C,D,D,D,C,D,C,C,C,D,C,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,D,D,D,E,D,D,C,C,D,C,C,D,C,B,C,B,D,D,D,D,D,D,D,D,C,C,D,C,C
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,D,C,C,C,B,C,D,A,A,A,A,A,A,B,C,C,C,B,C,B,A,B,B,B,C,B,B
Team-centred Domain levels: 5) Occupational therapy,E,D,C,C,C,C,C,C,C,C,A,A,A,A,A,A,A,C,C,C,D,E,E,E,E,C,B,C,B,C
Team-centred Domain levels: 6) Physiotherapy,E,D,D,D,D,D,E,D,C,D,A,A,A,B,B,B,C,D,D,D,C,E,E,D,D,D,D,D,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,E,D,D,D,D,D,D,E,E,E,E,D,C,C,D,E,E,E,D,C,D,D,D,E
Team-centred Domain levels: 8) MDT working,C,C,C,D,C,D,C,D,C,C,B,C,B,C,C,D,D,D,E,E,E,E,E,E,D,E,D,D,D,E
Team-centred Domain levels: 9) Standards by discharge,E,D,D,C,B,B,C,B,C,C,B,B,B,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,E,E,E,E,E,D,C,C,C,C,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,E,D,D,D,D,D,D,D,D,D,B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C
Team-centred KI level Team-centred Total KI score,34,42,42,44,48,52,50,58,58,50,78,76,72,70,76.0,68,66,56.0,54.0,58.0,58.0,46.0,50.0,54.0,56.0,60.0,66.0,58.0,66.0,60.0
