SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,C,C,A,A,B,B,B,B,A,B,B,B,B,A,B,A,B,A,B,A
SSNAP score,63.2,66.7,87.6,83,78.3,76.4,79.8,72.4,86.2,75.5,75.2,70.3,77.4,83.1,79.2,86.2,78.8,84.6,74.3,86.4
Case ascertainment band,C,B,A,B,A,A,A,A,A,B,A,B,B,A,B,A,B,B,C,A
Audit compliance band,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A
Combined Total Key Indicator level,A,B,A,A,B,B,B,B,A,B,B,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,82.6,70.2,87.6,87.4,78.3,76.4,79.8,72.4,86.2,79.5,75.2,74.0,81.4,83.1,83.3,86.2,92.1,89.0,87.4,86.4
Number of records completed: Team-centred post-72h all teams cohort,37,38,45,39,38,33,45,52,47,52,39,38,35,50,39,43,36,46,43,41
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,C,B,A,B,B,A,A,B,B,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,C,A,A,B,B,A,C,B,C,C,C,C,C,B,C,A,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,C,C,C,B,C,C,C,C,C,C,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,B,A,B,B,B,C,B,B,C,C,B,B,C,B,B,B,C,B
Patient-centred Domain levels: 8) MDT working,A,A,A,A,C,A,B,C,B,A,B,C,B,B,A,A,A,B,A,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,C,D,C,C,C,C,C,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,A,B,A,A,B,A,A,B,A,A,B,B,A,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,88.6,77.1,88.6,91.4,80.0,82.9,82.9,71.4,85.7,85.7,77.1,71.4,82.9,82.9,80.0,85.7,94.3,91.4,91.4,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,A,A,B,A,A,B,A,A,B,C,B,A,B,A,A,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,67.8,73.3,88.6,86.9,80.0,82.9,82.9,71.4,85.7,81.4,77.1,67.9,78.7,82.9,76.0,85.7,80.6,86.9,77.7,82.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C,A,A,B,B,B,C,B,C,C,C,C,B,A,B,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,B,B,C,D,C,D,B,D,D,D,C,C,C,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,B,D,B,C,C,D,C,D,C,D,D,C,C,C,B,C,C,D,E,C
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,C,D,C,C,C,C,C,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,C,A,A,B,B,B,B,A,B,B,B,B,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,76.7,63.3,86.7,83.3,76.7,70,76.7,73.3,86.7,73.3,73.3,76.7,80.0,83.3,86.7,86.7,90.0,86.7,83.3,90.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,A,B,B,B,B,B,A,C,B,B,B,A,A,A,B,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,58.7,60.2,86.7,79.2,76.7,70,76.7,73.3,86.7,69.7,73.3,72.8,76.0,83.3,82.3,86.7,77.0,82.3,70.8,90.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),72,76,96,89,72,79,83,77,82,81,77,81,70,59,58,69,71,69,68,55
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.96,0.98,0.99,97%,0.98,0.97,97%,96%,98%,99%,98%,95%,88%,89%,93%,89%,88%,89%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),11,16,20,16,14,34,51,29,26,29,32,41,37,34,39,49,50,44,47,37
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.15,0.21,0.21,0.18,19%,0.43,0.61,38%,32%,36%,42%,51%,53%,58%,67%,71%,70%,64%,69%,67%
