SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,C,D,D,B,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,A,A
SSNAP score,65.2,57.8,58.9,71.4,82.3,71.4,81.7,82,75,71.1,85,90.7,92.3,87.7,91.0,86.7,87.3,97.0,87.7,93.1,81.0,81.0,81.6,76.7,75.9,81.6,79.9,78.5,84.0,95.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A
Audit compliance band,D,D,D,C,B,C,B,B,C,C,A,A,A,A,A,A,A,A,A,B,D,D,D,D,D,C,D,D,C,A
Combined Total Key Indicator level,B,C,C,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator score,76.7,68,69.3,79.3,86.7,79.3,86,86.3,83.3,79,85,90.7,92.3,87.7,91.0,86.7,87.3,97.0,92.3,98.0,95.3,95.3,96.0,95.0,89.3,90.7,94.0,92.3,93.3,95.0
Number of records completed: Team-centred post-72h all teams cohort,57,57,48,56,55,48,53,38,57,58,74,54,83,70,81,75,71,60,44,48,47,44,47,43,63,63,62,57,57,59
Patient-centred Domain levels: 1) Scanning,A,B,A,B,A,C,B,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,D,E,D,E,C,D,C,E,E,C,C,D,D,D,D,B,C,B,C,B,B,C,C,B,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,A,B,A,B,A,A,B,A,B,B,B,A,B,B,B,B,B,A,B,A,A,A,B,B,B,B,A,B,B,A
