SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,B,B,C,C,C,B,B,D,B,B,B,C,D,D,C,C,D,B,A
  SSNAP score,60.5,73.5,72,66.6,67.8,60.9,74.6,73.1,50.9,76.4,74.2,72.6,67.6,58.3,58.7,68.5,64.3,58.1,74.4,84.5
  Case ascertainment band,B,A,A,A,A,C,A,B,C,A,A,A,A,C,A,A,A,A,A,A
  Audit compliance band,C,C,D,D,D,D,C,A,D,A,B,B,D,C,D,B,A,C,B,A
  Combined Total Key Indicator level,B,A,A,B,B,A,A,B,B,B,B,B,B,B,C,B,C,C,B,A
  Combined Total Key Indicator score,70.7,81.7,84.8,78.3,79.8,84.3,82.9,76.9,70.5,76.4,78.1,76.4,79.5,76.2,69.0,72.1,64.3,64.5,78.3,84.5
Number of records completed: Team-centred post-72h all teams cohort,55,54,57,52,53,39,47,48,42,49,54,47,51,47,60,56,54,61,59,57
Patient-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,B,B,B,B,B,B,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,B,B,A,A,B,B,B,C,C,C,C,D,C,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,C,B,C,B,B,C,B,C,C,C,C,C,C,C,C,C,C,C,B
Patient-centred Domain levels: 8) MDT working,E,E,E,D,C,C,D,C,D,C,B,B,A,A,B,C,C,D,B,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,A,A,A,A,A,A,A,A,B,B,E,E,B,A
Patient-centred Domain levels: 10) Discharge processes,B,A,A,A,B,A,A,D,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,B,A,A,A,B,B,A,A,A,A,A,B,B,C,C,B,A
Patient-centred KI level Patient-centred Total KI score,71.4,80,82.9,80,82.9,88.6,85.7,77.1,74.3,82.9,82.9,82.9,85.7,85.7,71.4,74.3,68.6,65.7,80.0,85.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,B,C,B,C,B,B,D,A,B,B,B,C,C,B,C,D,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,61.1,72,70.4,68,70.4,64,77.1,73.3,53.7,82.9,78.7,78.7,72.9,65.6,60.7,70.6,68.6,59.1,76.0,85.7
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,B,A,A,B,B,B,B,B,C,D,D,D,C,D,D,D,C,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,E,E,D,E,E,E,E,D,E,D,C,B
Team-centred Domain levels: 9) Standards by discharge,C,B,A,C,B,B,B,A,B,A,A,A,A,B,B,B,E,E,B,A
Team-centred Domain levels: 10) Discharge processes,B,A,A,A,B,A,A,D,B,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,B,B,B,B,B,C,B,B,B,B,C,C,B,C,C,B,A
Team-centred KI level Team-centred Total KI score,70,83.3,86.7,76.7,76.7,80,80,76.7,66.7,70.0,73.3,70.0,73.3,66.7,66.7,70.0,60.0,63.3,76.7,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,B,B,C,C,D,B,B,D,B,C,C,C,D,D,C,C,D,B,A
Team-centred SSNAP level Team-centred SSNAP score,59.8,75,73.7,65.2,65.2,57.8,72,72.8,48.2,70.0,69.7,66.5,62.3,51.0,56.7,66.5,60.0,57.0,72.8,83.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),105,123,122,93,78,91,86,99,88,84,87,92,112,102,103,115,114,110,101,113
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.85,0.92,0.93,0.8,79%,0.88,0.91,98%,85%,82%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,7,8,12,13,28,36,1,20,18,17,14,24,19,14,19,17,19,10,18
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.04,0.06,0.07,0.13,17%,0.31,0.42,1%,23%,21%,20%,15%,21%,19%,14%,17%,15%,17%,10%,16%
