SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01
SSNAP level,E,D,D,E,E,D,D,D,D,D,E,E,E,D,D,D,E
SSNAP score,26.6,41,40.5,35.2,39.6,44.6,43.7,46.5,46.5,47.5,36.7,36.3,32.5,45,49.5,45.9,37.1
Case ascertainment band,D,B,A,B,A,A,A,A,A,A,C,B,C,A,A,A,B
Audit compliance band,B,C,C,B,C,B,B,B,B,B,C,D,D,C,C,C,D
Combined Total Key Indicator level,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D
Combined Total Key Indicator score,40,48,45,39,44,47,46,49,49,50,48,45,45,50,55.0,51,46
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records,56,77,69,80,113,90,81,98,78,66,90,86,110,110,108,88
Patient-centred Domain levels: 1) Scanning,C,C,C,C,B,B,A,B,B,A,B,C,B,C,B,C,C
Patient-centred Domain levels: 2) Stroke unit,E,E,D,E,E,E,E,E,D,D,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,D,E,D,D,D,D,D,E,D,D,E,E,E,D,E,E
Patient-centred Domain levels: 4) Specialist Assessments,D,E,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records,C,E,E,E,D,E,E,E,E,C,D,E,C,E,E,E
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records,C,D,D,E,D,E,D,D,D,D,D,D,C,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records,D,C,E,D,E,E,D,D,D,D,C,C,D,D,D,C
Patient-centred Domain levels: 8) MDT working,C,D,D,D,D,D,D,D,D,D,D,E,E,D,D,C,D
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,C,D,D,D,D,B,C,C,C,C,B,B,A,A,A,B
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,A,A,B,A,A,B,A,A,B,B,B,B,B,A,B,C
Patient-centred KI level Patient-centred Total KI level,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,40,50,46,40,44,46,46,48,48,50,48,44,44,50,54.0,50,46
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,E,E,D,D,D,D,D,E,E,E,D,D,D,E
Patient-centred SSNAP level Patient-centred SSNAP score,26.6,42.8,41.4,36.1,39.6,43.7,43.7,45.6,45.6,47.5,36.7,35.5,31.8,45,48.6,45,37.1
Team-centred Domain levels: 1) Scanning,C,C,C,C,B,B,A,B,B,A,B,C,B,C,B,C,C
Team-centred Domain levels: 2) Stroke unit,E,E,D,E,E,E,E,E,D,D,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,D,E,E,D,D,D,D,E,D,D,E,E,E,D,E,E
Team-centred Domain levels: 4) Specialist Assessments,D,E,E,D,D,D,D,D,D,D,E,E,E,E,E,E,E
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,C,E,E,E,D,E,E,E,E,C,D,E,D,E,E,E
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,C,D,D,E,D,E,D,D,D,D,D,D,C,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,C,E,D,E,E,D,D,E,D,C,C,D,D,D,C
Team-centred Domain levels: 8) MDT working,C,D,D,D,D,C,D,C,C,C,D,D,D,C,C,B,D
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,D,D,D,D,D,B,C,C,C,C,B,B,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,Insufficient records,A,A,B,A,A,B,A,A,B,B,B,B,B,A,B,C
Team-centred KI level Team-centred Total KI level,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D
Team-centred KI level Team-centred Total KI score,40,46,44,38,44,48,46,50,50,50,48,46,46,50,56.0,52,46
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,E,E,D,D,D,D,D,E,E,E,D,D,D,E
Team-centred SSNAP level Team-centred SSNAP score,26.6,39.3,39.6,34.3,39.6,45.6,43.7,47.5,47.5,47.5,36.7,37.1,33.2,45,50.4,46.8,37.1
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,127,140,136,134,138,144,150,181,153,130,136,125,140,150,139,159
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,1,0.99,0.99,1,97%,0.97,0.98
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,2,0,0,0,0,0,0,0,0,11,11,11,15,25,26,30
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.02,0,0,0,0,0,0,0,0,0.08,0.08,0.09,0.11,17%,0.19,0.19
