SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,B,TFP,TFP,TFP,B,B,TFP,TFP,A,A,A,B,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,A
  SSNAP score,66,74.5,.,.,.,70.1,73.8,.,.,80.9,94.3,91.7,79.4,93.3,90.7,90.7,94.0,85.0,81.7,68.1,83.3,81.7,87.7,82.7,89.3,88.0,90.7,86.8,86.3
  Case ascertainment band,A,A,,A,C,A,B,C,A,B,A,A,B,A,A,A,A,A,A,C,A,A,A,A,A,B,A,A,A
  Audit compliance band,D,D,,E,E,E,D,C,B,B,A,A,B,A,A,A,A,A,B,B,A,A,A,A,A,A,A,B,A
  Combined Total Key Indicator level,B,A,TFP,TFP,TFP,A,A,TFP,TFP,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator score,77.7,87.7,.,.,.,87.7,91.3,.,.,89.7,94.3,91.7,88,93.3,90.7,90.7,94.0,85.0,86.0,84.3,83.3,81.7,87.7,82.7,89.3,92.7,90.7,91.3,86.3
Number of records completed: Team-centred post-72h all teams cohort,28,31,Too few to report,21,23,34,26,22,29,33,41,43,47,59,45,48,37,37,31,26,42,31,37,39,40,32,33,49,32
Patient-centred Domain levels: 1) Scanning,A,A,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,C,Too few to report,B,C,C,C,D,D,D,B,C,C,B,C,C,B,C,C,D,D,E,E,D,E,B,D,D,B
Patient-centred Domain levels: 3) Thrombolysis,D,B,Too few to report,A,B,B,B,B,A,B,B,B,B,B,B,A,D,E,B,E,B,D,B,B,B,C,B,C,D
Patient-centred Domain levels: 4) Specialist Assessments,C,B,Too few to report,B,B,B,B,B,B,B,B,B,C,B,B,C,B,C,A,B,C,D,C,B,C,A,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,C,B,Too few to report,Too few to report,Too few to report,A,A,Too few to report,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,B,C,Too few to report,Too few to report,Too few to report,A,A,Too few to report,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,Too few to report,Too few to report,Too few to report,B,A,Too few to report,Too few to report,A,A,A,B,B,B,B,A,B,A,B,B,B,A,A,A,A,A,A,B
Patient-centred Domain levels: 8) MDT working,C,B,Too few to report,B,B,B,C,A,B,B,A,B,B,B,B,B,B,B,A,A,C,C,C,C,C,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,A,Too few to report,Too few to report,Too few to report,C,B,Too few to report,Too few to report,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A,Too few to report,Too few to report,Too few to report,B,A,Too few to report,Too few to report,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,B,A,TFP,TFP,TFP,A,A,TFP,TFP,A,A,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,72,82,.,.,.,82,86,.,.,86,92,90,86,90.0,88,88,88.0,80.0,92.0,82.0,80.0,70.0,82.0,82.0,82.0,92.0,88.0,86.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,TFP,TFP,TFP,C,C,TFP,TFP,B,A,A,B,A,A,A,A,B,A,C,B,B,A,A,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,61.2,69.7,.,.,.,65.6,69.4,.,.,77.6,92,90,77.6,90.0,88,88,88.0,80.0,87.4,66.2,80.0,70.0,82.0,82.0,82.0,87.4,88.0,81.7,86.0
Team-centred Domain levels: 2) Stroke unit,A,A,Too few to report,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,B,A,B,C,B,C,B,A,B,B,A
Team-centred Domain levels: 5) Occupational therapy,C,B,Too few to report,A,B,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,Too few to report,A,A,A,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,A,Too few to report,A,A,C,A,A,B,B,A,B,C,B,C,B,A,C,E,E,C,A,B,B,A,B,B,A,D
Team-centred Domain levels: 9) Standards by discharge,B,A,Too few to report,Too few to report,Too few to report,A,A,Too few to report,Too few to report,B,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,Too few to report,Too few to report,Too few to report,A,A,Too few to report,Too few to report,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,B
Team-centred KI level Team-centred Total KI level,A,A,TFP,TFP,TFP,A,A,TFP,TFP,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,83.3,93.3,.,.,.,93.3,96.7,.,.,93.3,96.7,93.3,90,96.7,93.3,93.3,100.0,90.0,80.0,86.7,86.7,93.3,93.3,83.3,96.7,93.3,93.3,96.7,86.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,TFP,TFP,TFP,B,B,TFP,TFP,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A
