SSNAP Scoring Summary:,2021-10-01,2022-01-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01
  SSNAP level,C,D,C,C,D,D,D,D
  SSNAP score,60.1,57.7,64.8,62.6,51.1,58.5,46.1,40.4
  Case ascertainment band,A,A,A,A,B,A,B,D
  Audit compliance band,D,D,A,C,D,C,D,D
  Combined Total Key Indicator level,B,C,C,C,C,C,D,C
  Combined Total Key Indicator score,70.7,67.9,64.8,69.5,63.3,65.0,57.1,67.9
Number of records completed: Team-centred post-72h all teams cohort,26,24,22,26,20,31,28,41
Patient-centred Domain levels: 2) Stroke unit,B,A,B,B,C,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,C,C,C,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,C,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,D,C,B,C
Patient-centred Domain levels: 8) MDT working,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,A,B,A,A,A,C,E,B
Patient-centred Domain levels: 10) Discharge processes,C,D,D,C,C,D,D,D
Patient-centred KI level Patient-centred Total KI level,B,C,C,C,C,C,D,C
Patient-centred KI level Patient-centred Total KI score,71.4,65.7,62.9,65.7,60.0,60.0,54.3,65.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,C,D,D,D,D,E
Patient-centred SSNAP level Patient-centred SSNAP score,60.7,55.9,62.9,59.1,48.4,54.0,43.8,39.1
Team-centred Domain levels: 2) Stroke unit,B,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C,C,B,C,C,C,B
Team-centred Domain levels: 6) Physiotherapy,B,B,B,C,C,B,C,B
Team-centred Domain levels: 7) Speech and Language therapy,E,C,E,D,E,D,C,D
Team-centred Domain levels: 9) Standards by discharge,A,B,A,A,A,A,D,B
Team-centred Domain levels: 10) Discharge processes,C,D,D,C,C,D,D,D
Team-centred KI level Team-centred Total KI level,B,B,C,B,C,B,C,B
Team-centred KI level Team-centred Total KI score,70.0,70.0,66.7,73.3,66.7,70.0,60.0,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,C,C,D,C,D,D
Team-centred SSNAP level Team-centred SSNAP score,59.5,59.5,66.7,66.0,53.8,63.0,48.4,41.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),30,31,32,27,28,36,40,32
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),94%,97%,94%,90%,88%,90%,95%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),21,27,29,24,27,35,36,28
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),70%,87%,91%,89%,96%,97%,90%,88%
