SSNAP Scoring Summary:,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,C,D,D,D,E,X,D,D,D,D,D,C
  SSNAP score,62.0,60.0,48.4,40.5,55.8,35.9,.,45.9,56.0,58.5,55.1,46.0,62.0
  Case ascertainment band,A,A,A,A,A,B,E,A,A,A,A,A,A
  Audit compliance band,A,A,B,C,C,C,X,C,B,C,B,A,A
  Combined Total Key Indicator level,C,C,D,D,C,D,X,D,D,C,D,D,C
  Combined Total Key Indicator score,62.0,60.0,51.0,45.0,62.0,42.0,.,51.0,59.0,65.0,58.0,46.0,62.0
Number of records completed: Team-centred post-72h all teams cohort,183,186,174,182,192,122,Insufficient records,166,183,186,186,235,215
Patient-centred Domain levels: 1) Scanning,A,B,A,A,A,B,Insufficient records,B,A,A,B,B,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,Insufficient records,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,D,D,C,E,Insufficient records,D,C,D,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,B,C,D,C,B,D,Insufficient records,D,D,C,C,D,B
Patient-centred Domain levels: 5) Occupational therapy,C,B,B,D,B,C,Insufficient records,C,C,C,B,C,B
Patient-centred Domain levels: 6) Physiotherapy,D,B,B,D,B,B,Insufficient records,C,D,C,C,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,D,E,B,C,Insufficient records,D,C,C,C,C,C
Patient-centred Domain levels: 8) MDT working,D,D,E,E,D,E,Insufficient records,D,E,E,D,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,C,D,E,E,E,Insufficient records,B,A,A,B,C,B
Patient-centred Domain levels: 10) Discharge processes,B,B,C,B,C,D,Insufficient records,C,A,A,E,C,A
Patient-centred KI level Patient-centred Total KI level,C,C,D,D,C,D,Insufficient records,D,C,C,D,D,C
Patient-centred KI level Patient-centred Total KI score,60.0,60.0,52.0,44.0,62.0,44.0,.,52.0,60.0,62.0,54.0,48.0,66.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,D,E,D,E,X,D,D,D,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,60.0,60.0,49.4,39.6,55.8,37.6,.,46.8,57.0,55.8,51.3,48.0,66.0
Team-centred Domain levels: 1) Scanning,A,B,B,A,A,B,Insufficient records,B,A,A,B,B,A
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,Insufficient records,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,D,D,D,C,E,Insufficient records,D,C,D,D,D,D
Team-centred Domain levels: 4) Specialist Assessments,B,C,D,C,B,D,Insufficient records,D,D,C,C,D,C
Team-centred Domain levels: 5) Occupational therapy,B,B,B,C,B,D,Insufficient records,C,C,B,A,C,B
Team-centred Domain levels: 6) Physiotherapy,C,B,B,D,B,C,Insufficient records,C,D,B,B,D,D
Team-centred Domain levels: 7) Speech and Language therapy,C,C,D,D,B,B,Insufficient records,C,C,B,B,C,C
Team-centred Domain levels: 8) MDT working,D,D,E,E,D,E,Insufficient records,E,E,E,D,E,E
Team-centred Domain levels: 9) Standards by discharge,A,B,D,E,E,E,Insufficient records,B,A,A,B,C,B
Team-centred Domain levels: 10) Discharge processes,C,C,C,C,C,E,Insufficient records,D,B,A,D,E,B
Team-centred KI level Team-centred Total KI level,C,C,D,D,C,D,Insufficient records,D,D,C,C,D,D
Team-centred KI level Team-centred Total KI score,64.0,60.0,50.0,46.0,62.0,40.0,.,50.0,58.0,68.0,62.0,44.0,58.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,D,D,D,E,X,D,D,C,D,D,D
Team-centred SSNAP level Team-centred SSNAP score,64.0,60.0,47.5,41.4,55.8,34.2,.,45.0,55.1,61.2,58.9,44.0,58.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),80,119,106,212,219,247,304,306,273,243,283,310,316
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),99%,70%,47%,72%,83%,80%,91%,99%,100%,100%,100%,100%,93%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),80,102,33,82,112,98,34,4,0,0,2,9,48
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),100%,86%,31%,39%,51%,40%,11%,1%,0%,0%,1%,3%,15%
