SSNAP Scoring Summary:,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01
SSNAP level,C,A,B,B,B,C,B,C,C,C,B,TFP,B,D,D,C,C,D
SSNAP score,64.3,83.3,74.7,80,70.7,64.7,72.2,64.2,68.8,68.4,70.3,.,70.1,59.6,55.6,62.5,61.1,57.4
Case ascertainment band,A,A,A,A,A,B,A,A,A,B,A,,A,B,C,B,B,C
Audit compliance band,C,A,D,A,C,C,C,D,B,D,B,TFP,B,D,D,D,D,C
Combined Total Key Indicator level,B,A,A,B,B,B,A,B,B,A,B,TFP,B,B,B,B,B,B
Combined Total Key Indicator score,71.4,83.3,87.9,80,78.6,75.7,80.2,75.5,72.4,84.8,74.0,.,73.8,73.8,76.9,77.4,75.7,75.0
Number of records completed: Team-centred post-72h all teams cohort,32,29,31,27,22,22,24,48,23,23,23,Too few to report,24,25,27,30,29,22
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,A,B,B,C,C,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,A,A,B,C,C,A,B,C,A,A,C,C,C,C,C,C,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,C,B,B,B,B,B,B,C,B,B,B,B,B,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,A,A,A,C,B,A,A,A,C,A,A,A,A,B,A,A
Patient-centred Domain levels: 8) MDT working,E,E,D,D,D,D,D,D,E,D,E,E,D,D,D,D,D,A
Patient-centred Domain levels: 9) Standards by discharge,D,B,B,B,C,B,B,B,B,B,B,B,B,C,B,C,C,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,C,B,A,B,B,B,B,B,B,A,B,Not included in scoring,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,62.9,80,85.7,80,77.1,71.4,77.1,74.3,71.4,82.9,71.4,.,74.3,74.3,77.1,71.4,71.4,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,B,B,B,C,C,C,C,C,C,C,,B,C,D,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,56.6,80,72.9,80,69.4,61.1,69.4,63.1,67.9,66.9,67.9,.,70.6,60.0,55.7,57.7,57.7,61.2
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,A,B,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,A,A,C,C,C,A,C,B,A,A,Too few to report,C,C,C,B,B,C
Team-centred Domain levels: 6) Physiotherapy,B,C,B,D,C,B,B,B,D,B,B,Too few to report,B,B,B,B,B,D
Team-centred Domain levels: 7) Speech and Language therapy,B,C,B,A,B,C,C,C,C,C,E,Too few to report,C,E,C,C,C,C
Team-centred Domain levels: 9) Standards by discharge,D,A,B,B,B,B,B,B,C,B,C,Too few to report,C,B,B,B,C,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,B,B,A,A,A,Too few to report,B,A,A,A,A,B
Team-centred KI level Team-centred Total KI level,B,A,A,B,B,B,A,B,B,A,B,Too few to report,B,B,B,A,B,B
Team-centred KI level Team-centred Total KI score,80,86.7,90,80,80,80,83.3,76.7,73.3,86.7,76.7,.,73.3,73.3,76.7,83.3,80.0,70.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A,B,B,B,C,B,C,C,B,B,,C,D,D,C,C,D
Team-centred SSNAP level Team-centred SSNAP score,72,86.7,76.5,80,72,68.4,75.0,65.2,69.7,70.0,72.8,.,69.7,59.2,55.4,67.3,64.6,53.5
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),1,53,57,43,41,22,30,32,48,39,61,50,30,39,35,44,42,45
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.96,0.95,0.93,0.98,0.69,94%,84%,92%,87%,90%,88%,71%,91%,97%,96%,86%,87%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,3,8,15,19,15,24,26,39,33,46,31,5,10,12,21,26,23
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.06,0.14,0.35,0.46,0.68,80%,81%,81%,85%,75%,62%,17%,26%,34%,48%,62%,51%
