SSNAP Scoring Summary:,2016-01-01
SSNAP level,C
SSNAP score,62.7
Case ascertainment band,A
Audit compliance band,D
Combined Total Key Indicator level,B
Combined Total Key Indicator score,73.8
Number of records completed: Team-centred post-72h all teams cohort,23
Patient-centred Domain levels: 2) Stroke unit,A
Patient-centred Domain levels: 5) Occupational therapy,A
Patient-centred Domain levels: 6) Physiotherapy,A
Patient-centred Domain levels: 7) Speech and Language therapy,C
Patient-centred Domain levels: 8) MDT working,D
Patient-centred Domain levels: 9) Standards by discharge,B
Patient-centred Domain levels: 10) Discharge processes,D
Patient-centred KI level Patient-centred Total KI level,B
Patient-centred KI level Patient-centred Total KI score,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C
Patient-centred SSNAP level Patient-centred SSNAP score,63.1
Team-centred Domain levels: 2) Stroke unit,A
Team-centred Domain levels: 5) Occupational therapy,B
Team-centred Domain levels: 6) Physiotherapy,B
Team-centred Domain levels: 7) Speech and Language therapy,D
Team-centred Domain levels: 9) Standards by discharge,A
Team-centred Domain levels: 10) Discharge processes,D
Team-centred KI level Team-centred Total KI level,B
Team-centred KI level Team-centred Total KI score,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C
Team-centred SSNAP level Team-centred SSNAP score,62.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),38
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),12
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.32
