SSNAP Scoring Summary:,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
SSNAP score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Audit compliance band,,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Combined Total Key Indicator level,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 1) Scanning,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 2) Stroke unit,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
