SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-10-01
  SSNAP level,E,D,D,D
  SSNAP score,38.7,46.1,40.9,44.6
  Case ascertainment band,C,B,C,B
  Audit compliance band,E,D,D,C
  Combined Total Key Indicator level,D,D,D,D
  Combined Total Key Indicator score,56.9,57.1,56.7,52.1
Number of records completed: Team-centred post-72h all teams cohort,37,28,31,34
Patient-centred Domain levels: 2) Stroke unit,A,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,B
Patient-centred Domain levels: 6) Physiotherapy,B,C,C,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E
Patient-centred Domain levels: 8) MDT working,D,D,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,A,B,C
Patient-centred Domain levels: 10) Discharge processes,E,E,D,E
Patient-centred KI level Patient-centred Total KI level,D,D,C,D
Patient-centred KI level Patient-centred Total KI score,57.1,54.3,60,54.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,38.9,43.8,43.4,46.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C
Team-centred Domain levels: 6) Physiotherapy,C,C,D,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,A,B,D
Team-centred Domain levels: 10) Discharge processes,E,E,E,E
Team-centred KI level Team-centred Total KI level,D,C,D,D
Team-centred KI level Team-centred Total KI score,56.7,60,53.3,50
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,E,D
Team-centred SSNAP level Team-centred SSNAP score,38.5,48.4,38.5,42.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,58,63,78
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0
