SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01
SSNAP level,D,C,C,B,B,C,D,B,B,C,B,B,B,C,C,B,B,C,C,C,B,D,D,TFP
SSNAP score,51.7,63,68.4,73.8,75.8,60.8,44.1,70.3,75,66.5,72.2,78,70,66,67.0,73,72,64.0,64.0,60.0,70.0,59.0,55.0,.
Case ascertainment band,B,A,A,A,B,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,C,C,C,B,B,C,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,C,B,B,A,A,C,B,B,B,B,B,B,B,C,C,B,B,C,C,C,B,D,D,TFP
Combined Total Key Indicator score,64,70,76,82,84,64,70,74,79,70,76,78,70,66,67.0,73,72,64.0,64.0,60.0,70.0,59.0,55.0,.
Number of records completed: Team-centred post-72h all teams cohort,139,165,143,154,137,162,104,186,172,151,149,149,139,137,157,138,145,130,150,142,134,130,171,29
Patient-centred Domain levels: 1) Scanning,C,C,C,C,C,C,D,C,C,C,B,B,B,B,C,B,B,B,C,C,B,B,B,Too few to report
Patient-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,E,D,C,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,B,A,B,A,B,B,B,C,A,C,C,C,D,D,D,D,D,D,D,E,D,E,D,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,B,B,C,D,B,B,C,B,C,C,B,C,C,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,C,C,B,A,A,C,A,A,A,A,A,A,A,A,A,A,A,C,B,A,A,A,B,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,C,B,B,A,B,B,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,E,E,D,E,E,C,C,D,D,E,D,C,C,C,D,C,D,E,C
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A,B,B,B,A,B,A,A,A,B,B,B,A,B,C,C,C,D,D,D
Patient-centred Domain levels: 9) Standards by discharge,C,C,B,C,A,B,B,B,B,B,C,C,C,B,B,B,B,C,B,C,B,C,D,B
