SSNAP Scoring Summary:,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,C,A,A,B,B,B,B,C,A,B,B,A,A,C,B,C,B,B,C,B
SSNAP score,62.5,83.2,87.5,75.8,78.9,77.4,77.4,69,84.6,73.5,76.3,80.3,86.0,60.0,75.0,60.1,79.3,76.7,64.8,75.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,C,B,A,A,C,A,C,A,B,B,B
Audit compliance band,D,B,B,B,B,B,B,C,B,A,B,B,A,D,C,C,C,B,D,B
Combined Total Key Indicator level,B,A,A,B,A,A,A,B,A,A,A,A,A,A,A,B,A,A,A,A
Combined Total Key Indicator score,73.6,87.6,92.1,79.8,83.1,81.4,81.4,76.7,89.0,86.4,84.5,84.5,86.0,83.1,83.3,78.6,88.1,85.0,80.2,83.1
Number of records completed: Team-centred post-72h all teams cohort,30,35,36,43,49,35,41,37,36,30,36,43,36,36,42,34,25,39,26,31
Patient-centred Domain levels: 2) Stroke unit,B,A,A,A,B,B,A,B,B,C,A,B,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,B,B,A,B,C,A,B,B,A,B,A,A,B,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,C,B,A,B,B,C,B,C,A,B,B,C,B,B,B,A,A,B,B,B
Patient-centred Domain levels: 8) MDT working,B,B,A,B,C,A,B,A,A,C,B,A,A,B,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,B,A,A,A,A,A,A,A,B,A,B,B,C,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,C,C,D,C,D,D,D,B,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,A,A,A,A,A,B,A,A,A,A,A,A,B,B,A,B,B,A
Patient-centred KI level Patient-centred Total KI score,77.1,88.6,94.3,82.9,82.9,82.9,82.9,80,91.4,82.9,85.7,85.7,88.6,82.9,80.0,77.1,82.9,80.0,77.1,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,A,A,B,B,B,B,B,A,B,B,A,A,D,B,D,B,B,C,B
Patient-centred SSNAP level Patient-centred SSNAP score,65.6,84.1,89.6,78.7,78.7,78.7,78.7,72,86.9,70.4,77.4,81.4,88.6,59.9,72.0,59.0,74.6,72.2,62.3,74.8
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,B,A,A,C,A,A,C,B,B,B,A,B,A,A,B,A
Team-centred Domain levels: 6) Physiotherapy,B,A,A,B,A,B,B,B,C,B,C,C,C,B,B,B,A,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,C,B,C,C,C,C,C,B,C,B,C,C,C,C,B,B,C,C,D
Team-centred Domain levels: 9) Standards by discharge,B,A,A,B,A,A,A,A,A,A,A,A,A,B,B,D,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,C,C,D,C,D,D,D,B,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,A,A,B,A,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A
Team-centred KI level Team-centred Total KI score,70,86.7,90,76.7,83.3,80.0,80,73.3,86.7,90.0,83.3,83.3,83.3,83.3,86.7,80.0,93.3,90.0,83.3,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,A,A,B,B,B,B,C,A,B,B,B,A,C,B,C,A,A,C,B
Team-centred SSNAP level Team-centred SSNAP score,59.5,82.3,85.5,72.8,79.2,76.0,76,66,82.3,76.5,75.2,79.2,83.3,60.2,78.0,61.2,84.0,81.2,67.3,75.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,62,65,51,48,69,82,90,51,40,50,63,67,68,71,82,88,79,65,51
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,1,1,1,1,100%,1,1,100%,100%,100%,100%,100%,100%,100%,100%,99%,93%,87%,81%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,11,13,21,18
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,0,0,0,0,0%,0.01,0.01,2%,3%,0%,0%,0%,0%,0%,4%,13%,16%,32%,35%
