SSNAP Scoring Summary:,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,C,C,C,C,B,B,C,B,B,B,A,A,B,B,C
SSNAP score,64.6,69.2,65.6,67.0,78.6,70.7,64.5,75.2,78.6,75.5,80.2,83.3,80.0,77.1,67.9
Case ascertainment band,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,D,C,B,B,A,A,A,A,A,A,A,A,A,A,C
Combined Total Key Indicator level,B,B,C,B,B,B,C,B,B,B,A,A,B,B,B
Combined Total Key Indicator score,80,76.9,69.0,70.5,78.6,70.7,64.5,75.2,78.6,75.5,80.2,83.3,80.0,77.1,75.5
Number of records completed: Team-centred post-72h all teams cohort,51,65,72,80,71,65,67,56,63,66,57,63,72,68,57
Patient-centred Domain levels: 2) Stroke unit,A,A,B,B,B,C,C,B,A,B,A,B,B,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,B,C,C,B,B,C,B,B,C,B,A,A,B,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,B,C,B,B,B,B,B,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,B,B,B,B,C,B,C,B,B,B,C,B,B
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,D,D,E,D,D,E,D
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,B,C,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,C,A,A,A,A,A,A,A,A,A,A,A,B
Patient-centred KI level Patient-centred Total KI level,B,B,B,B,B,B,C,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,80,77.1,71.4,74.3,77.1,71.4,65.7,77.1,77.1,74.3,77.1,80.0,80.0,74.3,74.3
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,B,B,B,C,B,B,B,B,B,B,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,64.6,69.4,67.9,70.6,77.1,71.4,65.7,77.1,77.1,74.3,77.1,80.0,80.0,74.3,66.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,B,D,D,C,C,C,B,C,C,B,B,B,B,C
Team-centred Domain levels: 6) Physiotherapy,B,B,C,D,B,C,D,C,A,A,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,D,C,E,E,D,D,E,C,C,D,D,D
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,B,C,C,B,B,B,A,B,B,A
Team-centred Domain levels: 10) Discharge processes,A,A,C,A,A,A,A,A,A,A,A,A,A,A,B
Team-centred KI level Team-centred Total KI level,B,B,C,C,B,B,C,B,B,B,A,A,B,B,B
Team-centred KI level Team-centred Total KI score,80,76.7,66.7,66.7,80.0,70.0,63.3,73.3,80.0,76.7,83.3,86.7,80.0,80.0,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,C,C,B,B,C,B,B,B,A,A,B,B,C
Team-centred SSNAP level Team-centred SSNAP score,64.6,69,63.3,63.3,80.0,70.0,63.3,73.3,80.0,76.7,83.3,86.7,80.0,80.0,69.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),47,39,73,89,92,98,87,98,76,67,64,65,59,66,69
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.85,0.76,84%,86%,90%,88%,84%,87%,80%,85%,84%,66%,66%,81%,79%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),38,32,68,74,68,86,79,86,69,61,59,55,47,59,61
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.81,0.82,93%,83%,74%,88%,91%,88%,91%,91%,92%,85%,80%,89%,88%
