SSNAP Scoring Summary:,2013-10-01,2014-01-01
  SSNAP score,.,.
  Combined Total Key Indicator score,.,.
Number of records completed: Team-centred post-72h all teams cohort,Too few to report,None completed
Patient-centred Domain levels: 1) Scanning,Too few to report,None entered
Patient-centred Domain levels: 2) Stroke unit,Too few to report,None entered
Patient-centred Domain levels: 3) Thrombolysis,Too few to report,None entered
Patient-centred Domain levels: 4) Specialist Assessments,Too few to report,None entered
Patient-centred Domain levels: 5) Occupational therapy,Too few to report,None entered
Patient-centred Domain levels: 6) Physiotherapy,Too few to report,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,Too few to report,None entered
Patient-centred Domain levels: 8) MDT working,Too few to report,None entered
Patient-centred Domain levels: 9) Standards by discharge,Too few to report,None entered
Patient-centred Domain levels: 10) Discharge processes,Too few to report,None entered
Patient-centred KI level Patient-centred Total KI level,Too few to report,No records
Patient-centred KI level Patient-centred Total KI score,.,.
Patient-centred SSNAP level Patient-centred SSNAP score,.,.
Team-centred Domain levels: 2) Stroke unit,Too few to report,None entered
Team-centred Domain levels: 5) Occupational therapy,Too few to report,None entered
Team-centred Domain levels: 6) Physiotherapy,Too few to report,None entered
Team-centred Domain levels: 7) Speech and Language therapy,Too few to report,None entered
Team-centred Domain levels: 9) Standards by discharge,Too few to report,None entered
Team-centred Domain levels: 10) Discharge processes,Too few to report,None entered
Team-centred KI level Team-centred Total KI level,Too few to report,No records
Team-centred KI level Team-centred Total KI score,.,.
Team-centred SSNAP level Team-centred SSNAP score,.,.
  SSNAP level,,X
  Case ascertainment band,,X
  Audit compliance band,,X
  Combined Total Key Indicator level,,X
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.
