SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2021-04-01,2021-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,E,E,E,D,D,D,TFP,TFP,D,D,D,D,E,D
SSNAP score,21.7,33.1,30.6,48.4,46.5,51,.,.,41.0,40.0,46.6,41.7,36.8,40.0
Case ascertainment band,C,A,A,A,A,A,A,C,B,A,A,B,A,A
Audit compliance band,D,D,C,B,B,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,E,E,E,D,D,D,TFP,TFP,D,D,D,D,E,D
Combined Total Key Indicator score,30,38.9,34,51,49,51,.,.,43.2,40.0,46.6,43.9,36.8,40.0
Number of records completed: Team-centred post-72h all teams cohort,59,36,68,54,60,54,20,20,42,36,28,43,32,26
Patient-centred Domain levels: 1) Scanning,D,B,D,D,C,C,,,,,,,,
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,Too few to report,Too few to report,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,C,E,D,E,E,,,,,,,,
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,,,,,,,,
Patient-centred Domain levels: 5) Occupational therapy,E,D,C,A,A,A,Too few to report,Too few to report,A,A,A,A,B,A
Patient-centred Domain levels: 6) Physiotherapy,E,E,E,D,C,D,Too few to report,Too few to report,D,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,Too few to report,Too few to report,E,D,C,D,E,E
Patient-centred Domain levels: 8) MDT working,E,D,D,C,D,D,Too few to report,Too few to report,E,E,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,A,A,Too few to report,Too few to report,D,B,B,B,E,B
Patient-centred Domain levels: 10) Discharge processes,D,E,D,D,C,B,Too few to report,Too few to report,A,B,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,E,D,E,D,D,D,TFP,TFP,D,C,C,C,D,C
Patient-centred KI level Patient-centred Total KI score,30,40,36,48,50,50,.,.,48.6,60.0,65.7,62.9,48.6,60.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,TFP,TFP,D,C,C,D,D,C
Patient-centred SSNAP level Patient-centred SSNAP score,21.7,34,32.4,45.6,47.5,50,.,.,46.1,60.0,65.7,59.7,48.6,60.0
Team-centred Domain levels: 1) Scanning,D,C,D,D,C,C,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,E,D,E,D,E,E,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,E,E,A,B,A,E,E,E,E,E,E,E,E
Team-centred Domain levels: 6) Physiotherapy,E,E,E,B,C,D,E,E,E,E,E,E,E,E
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,E,D,D,C,E,D,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,A,B,A,A,A,Too few to report,Too few to report,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,D,Too few to report,D,C,B,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,E,E,E,D,D,D,TFP,TFP,E,E,E,E,E,E
Team-centred KI level Team-centred Total KI score,30,37.8,32,54,48,52,.,.,37.8,20.0,27.5,25.0,25.0,20.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,D,D,D,TFP,TFP,E,E,E,E,E,E
Team-centred SSNAP level Team-centred SSNAP score,21.7,32.1,28.8,51.3,45.6,52,.,.,35.9,20.0,27.5,23.8,25.0,20.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,70,93,89,69,84,9,8,16,20,28,45,40,39
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,100%,100%,80%,80%,82%,90%,93%,93%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,2,1,58,60,81,7,8,12,17,25,39,37,38
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.03,0.01,0.65,0.87,0.96,78%,100%,75%,85%,89%,87%,93%,97%
