SSNAP Scoring Summary:,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,A,A,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,B,A,A,A,B,A
SSNAP score,88,83,78,89,84,80,82,82.0,84,87,76.0,71.3,80.0,84.0,82.0,81.0,80.0,77.0,83.0,85.5,89.0,75.0,92.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,B,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,A,A,B,A,A,B,A,A,A,A,B,B,B,A,A,A,B,A,A,A,A,B,A
Combined Total Key Indicator score,88,83,78,89,84,80,82,82.0,84,87,76.0,75.0,80.0,84.0,82.0,81.0,80.0,81.0,83.0,90.0,89.0,79.0,92.0
Number of records completed: Team-centred post-72h all teams cohort,246,200,230,241,260,259,250,280,279,259,253,233,267,255,250,263,269,227,240,247,269,226,241
Patient-centred Domain levels: 1) Scanning,B,C,C,A,B,C,B,B,B,A,B,C,B,A,A,A,B,B,A,A,A,C,A
Patient-centred Domain levels: 2) Stroke unit,B,B,C,B,C,C,C,C,C,C,D,D,D,C,C,C,D,D,C,C,C,C,C
Patient-centred Domain levels: 3) Thrombolysis,B,B,B,A,B,C,B,B,B,B,C,C,B,B,B,B,B,B,D,B,A,D,A
Patient-centred Domain levels: 4) Specialist Assessments,A,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,B,B,A,B,A
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,A,B,C,C,B,C,C,B,B,B,A,C,A,B,B,A,B,A,A,A,A,A
Patient-centred Domain levels: 8) MDT working,A,A,B,A,B,A,B,B,A,B,B,B,B,B,B,B,B,B,A,A,B,A,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,C,B,A,B,B,B,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B
