SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,X,X,D,D,D,D,D,D,D,TFP,C,C,C,C,C,B,C,C,C,D,C,C,D,C,C,C,B,B,B,B
  SSNAP score,.,.,42.8,51.6,40.7,43.6,45.8,53.5,47.7,.,60.4,61.2,63.5,67.1,60.5,70.3,68.7,64.6,62.6,57.0,64.0,60.8,53.7,64.3,64.3,60.0,77.0,75.7,75.0,72.8
  Case ascertainment band,X,X,B,A,C,A,B,A,C,E,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,B
  Audit compliance band,X,X,D,C,D,D,D,D,D,X,D,D,D,B,B,B,B,A,B,C,A,B,C,B,B,C,B,B,B,B
  Combined Total Key Indicator level,X,X,D,D,D,D,D,C,C,TFP,B,B,B,B,C,B,B,C,C,C,C,C,D,C,C,C,A,B,B,A
  Combined Total Key Indicator score,.,.,53,57.3,56.3,51.3,56.7,63,66,.,71,72,74.7,70.7,63.7,74,72.3,68.0,69.3,66.7,64.0,64.0,59.7,67.7,67.7,66.7,81.0,79.7,79.0,80.7
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,29,39,52,48,42,53,56,Insufficient records,59,59,72,65,55,65,64,69,64,55,58,47,55,50,47,67,56,54,54,57
Patient-centred Domain levels: 1) Scanning,None entered,None entered,B,B,C,A,A,A,A,Too few to report,A,A,A,B,B,B,B,C,C,C,C,B,C,C,B,C,A,A,A,B
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,E,E,E,E,D,E,C,Too few to report,C,C,C,D,D,D,E,E,E,E,E,E,E,E,E,C,C,D,C,D
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,D,E,C,C,D,D,E,Too few to report,D,C,C,C,D,D,C,D,E,E,E,E,D,D,D,E,D,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,E,E,E,E,E,D,D,Too few to report,C,C,C,D,D,D,D,D,D,E,E,E,E,E,D,D,B,C,B,C
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,D,D,D,E,D,D,D,Insufficient records,C,C,C,C,C,C,C,B,B,C,B,C,C,B,C,B,A,B,C,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,D,C,D,D,D,C,B,Insufficient records,B,B,B,B,C,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,E,E,E,E,E,E,D,Insufficient records,C,C,C,B,B,B,C,B,C,C,B,B,B,B,B,B,A,A,A,A
Patient-centred Domain levels: 8) MDT working,None entered,None entered,E,E,E,E,E,D,D,Too few to report,B,A,A,B,B,B,A,B,B,A,C,B,C,B,B,B,A,B,B,A
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,B,A,B,B,B,A,A,Insufficient records,B,B,B,C,B,B,B,C,B,B,B,C,C,C,C,D,C,C,C,B
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,A,A,A,B,A,A,A,Insufficient records,A,B,A,A,B,A,A,A,A,A,B,B,B,A,B,C,B,A,A,A
Patient-centred KI level Patient-centred Total KI level,No records,No records,D,D,D,D,D,D,C,TFP,B,B,B,C,C,C,C,C,C,C,D,D,D,C,C,C,A,B,B,B
Patient-centred KI level Patient-centred Total KI score,.,.,46,48,46,46,50,56,62,.,72,74,76,68,64.0,68,68,66.0,62.0,60.0,58.0,58.0,56.0,62.0,62.0,60.0,82.0,76.0,78.0,78.0
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,37.1,43.2,33.2,39.1,40.4,47.6,44.8,.,61.2,62.9,64.6,64.6,60.8,64.6,64.6,62.7,56.0,51.3,58.0,55.1,50.4,58.9,58.9,54.0,77.9,72.2,74.1,70.4
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,B,A,A,A,A,A,A,Insufficient records,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,D,D,D,E,D,D,E,Insufficient records,D,D,C,C,D,C,C,B,C,C,C,C,B,A,B,B,B,B,C,B
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,D,C,C,D,D,C,B,Insufficient records,B,B,B,B,C,B,B,B,B,B,C,B,C,C,B,C,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,E,E,E,E,E,E,E,Insufficient records,D,D,E,C,C,C,C,E,D,E,D,C,E,D,C,B,B,B,A,B
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,B,B,B,B,B,A,A,Insufficient records,C,B,B,D,C,B,C,C,B,B,B,D,D,D,D,D,C,C,D,C
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,A,A,A,B,A,A,A,Insufficient records,A,B,A,A,B,A,A,A,A,A,B,B,B,A,B,B,B,A,A,A
Team-centred KI level Team-centred Total KI level,No records,No records,C,C,C,D,C,B,B,TFP,B,B,B,B,C,B,B,B,B,B,B,B,C,B,B,B,B,A,B,A
Team-centred KI level Team-centred Total KI score,.,.,60,66.7,66.7,56.7,63.3,70,70,.,70,70,73.3,73.3,63.3,80,76.7,70.0,76.7,73.3,70.0,70.0,63.3,73.3,73.3,73.3,80.0,83.3,80.0,83.3
Team-centred SSNAP level Team-centred SSNAP score,.,.,48.4,60,48.2,48.2,51.1,59.5,50.6,.,59.5,59.5,62.3,69.7,60.2,76,72.8,66.5,69.2,62.7,70.0,66.5,57.0,69.7,69.7,66.0,76.0,79.2,76.0,75.2
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,E,D,E,E,D,D,D,TFP,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,B,B,B,B
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,D,C,D,D,D,D,D,TFP,D,D,C,C,C,B,B,C,C,C,B,C,D,C,C,C,B,B,B,B
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.,23,69,67,65,78,104,99,72,108,111,70,37,62,89,35,58,43,91,134,89,37,36,30,33,31,23,33,45
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.,1,1,1,1,1,1,1,1,1,1,0.77,0.45,63%,0.88,0.34,63%,57%,85%,100%,72%,41%,46%,44%,50%,40%,31%,42%,47%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.,0,0,1,0,0,0,0,0,0,0,16,17,21,1,29,26,13,15,13,26,22,23,20,16,14,11,20,32
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.,0,0,0.01,0,0,0,0,0,0,0,0.23,0.46,34%,0.01,0.83,45%,30%,16%,10%,29%,59%,64%,67%,48%,45%,48%,61%,71%
