SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,D,E,E,E,D,D,D,D,D,C,C,C,C,C,C,D,D,D,C,D,C,C,C,B,B,B,A,A,B
  SSNAP score,33.2,42.3,39.1,28.3,37.8,47.5,49.4,57.9,52.3,48.4,64.6,66,63,62,65.5,60.8,49.4,51.0,55.1,60.8,57.0,60.0,61.0,67.0,73.0,76.0,76.0,82.0,83.0,80.0
  Case ascertainment band,C,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,D,C,D,D,C,B,B,B,B,B,B,A,A,A,B,A,B,A,B,B,B,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator level,D,D,D,E,D,D,D,C,D,D,C,C,C,C,C,C,D,D,D,C,C,C,C,C,B,B,B,A,A,B
  Combined Total Key Indicator score,46,47,46,35,42,50,52,61,55,51,68,66,63,62,69.0,64,52,51.0,58.0,64.0,60.0,60.0,61.0,67.0,73.0,76.0,76.0,82.0,83.0,80.0
Number of records completed: Team-centred post-72h all teams cohort,80,67,74,66,80,77,88,97,89,74,92,82,77,87,125,64,78,111,116,124,128,125,110,132,127,111,132,128,118,137
Patient-centred Domain levels: 1) Scanning,B,B,C,D,C,C,B,A,A,C,C,C,C,C,B,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,D,C,D,E,E,C,C,D,E,C,D,E,E,D,D,E,E,D,D,D,D,D,C,C,C,B,B,B,B
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,E,D,D,E,D,E,E,E,E,E,E,D,D,E,D,D,D,E,E,D,C,C,C,D,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,D,E,D,D,D,D,C,C,C,C,D,E,D,B,B,B,C,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,E,D,D,D,E,E,D,C,C,B,A,A,A,B,B,A,C,D,D,C,C,C,C,C,B,B,A,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,E,D,D,D,D,C,C,A,B,B,B,B,C,C,D,D,D,D,C,C,C,B,B,B,A,A,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,D,E,E,C,C,D,D,C,C,C,E,E,D,D,E,E,D,C,C,E,C,C,C
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,C,D,D,D,D,B,B,B,B,B,B,C,D,D,D,D,D,D,C,B,B,B,B,C,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,B,A,A,A,A,B,B,B,A,B,B,A,B,B,C,B,C,B,B,B,C,C,B,C,B,B
Patient-centred Domain levels: 10) Discharge processes,B,C,D,D,B,A,A,B,C,B,B,B,B,A,B,B,B,A,A,A,A,A,A,C,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,E,D,D,D,C,D,D,C,C,C,C,C,C,D,D,D,C,D,D,C,C,B,B,B,A,A,B
Patient-centred KI level Patient-centred Total KI score,44,46,44,36,42,50,52,60,54,50,68,66,64,62,68.0,66,52,50.0,56.0,62.0,58.0,58.0,62.0,66.0,74.0,76.0,76.0,82.0,82.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,E,E,E,D,D,D,D,D,C,C,C,C,C,C,D,D,D,D,D,D,C,C,B,B,B,A,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,31.8,41.4,37.4,29.1,37.8,47.5,49.4,57,51.3,47.5,64.6,66,64,62,64.6,62.7,49.4,50.0,53.2,58.9,55.1,58.0,62.0,66.0,74.0,76.0,76.0,82.0,82.0,80.0
Team-centred Domain levels: 1) Scanning,B,B,C,D,C,C,B,A,A,C,C,C,C,C,B,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,D,C,D,E,E,C,C,D,E,C,D,E,E,D,D,E,E,D,D,D,D,D,C,C,C,B,B,B,B
