SSNAP Scoring Summary:,2024-01-01,2024-04-01
SSNAP level,C,A
SSNAP score,67.3,83.7
Case ascertainment band,C,A
Audit compliance band,B,B
Combined Total Key Indicator level,A,A
Combined Total Key Indicator score,83.3,88.1
Number of records completed: Team-centred post-72h all teams cohort,30,39
Patient-centred Domain levels: 2) Stroke unit,C,B
Patient-centred Domain levels: 5) Occupational therapy,C,B
Patient-centred Domain levels: 6) Physiotherapy,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,B,B
Patient-centred Domain levels: 8) MDT working,C,D
Patient-centred Domain levels: 9) Standards by discharge,A,A
Patient-centred Domain levels: 10) Discharge processes,A,A
Patient-centred KI level Patient-centred Total KI level,B,A
Patient-centred KI level Patient-centred Total KI score,80.0,82.9
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B
Patient-centred SSNAP level Patient-centred SSNAP score,64.6,78.7
Team-centred Domain levels: 2) Stroke unit,A,A
Team-centred Domain levels: 5) Occupational therapy,C,A
Team-centred Domain levels: 6) Physiotherapy,A,A
Team-centred Domain levels: 7) Speech and Language therapy,C,C
Team-centred Domain levels: 9) Standards by discharge,A,A
Team-centred Domain levels: 10) Discharge processes,A,A
Team-centred KI level Team-centred Total KI level,A,A
Team-centred KI level Team-centred Total KI score,86.7,93.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A
Team-centred SSNAP level Team-centred SSNAP score,70.0,88.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),42,35
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),98%,95%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),37,28
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),88%,80%
