SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01
  SSNAP level,E,E,D,D,D,D,D,D,D,D,D,C,B,D,C,D,C,C,D,D,E,E,E,TFP,D,D,D,TFP,X
  SSNAP score,24.3,27.2,45.6,50.3,53,48,57,57,56,44.2,57,65.1,75,55.8,67.8,54.6,65,62.1,50.0,47.3,31.9,39.5,33.8,.,45.6,51.3,57.2,.,.
  Case ascertainment band,A,A,A,A,A,A,A,A,B,B,A,B,A,C,A,A,A,A,C,A,D,B,C,,A,B,A,A,X
  Audit compliance band,C,D,B,B,A,A,A,A,A,B,C,D,A,A,B,C,A,B,C,D,E,E,E,TFP,D,C,D,D,X
  Combined Total Key Indicator level,E,E,D,D,D,D,D,D,D,D,C,A,B,C,B,C,C,C,C,D,D,D,D,TFP,D,C,C,TFP,X
  Combined Total Key Indicator score,27,32,48,53,53,48,57,57,59,49,63.3,80.7,75,65.7,71.3,60.7,65,65.3,65.3,55.7,57.0,52.0,49.7,.,53.7,60.0,67.3,.,.
Number of records completed: Team-centred post-72h all teams cohort,75,69,78,89,81,73,84,78,51,53,61,29,40,34,36,38,49,45,39,42,23,44,23,Too few to report,45,36,55,34,None completed
Patient-centred Domain levels: 1) Scanning,E,E,E,D,D,C,C,C,C,D,C,A,A,B,A,A,A,B,B,C,A,A,B,Too few to report,B,C,A,Too few to report,None entered
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,D,E,E,E,D,D,E,E,E,E,E,E,E,E,E,E,Too few to report,E,E,E,A,None entered
Patient-centred Domain levels: 3) Thrombolysis,E,E,D,D,E,E,C,E,E,E,C,C,E,D,C,D,E,D,D,E,D,D,E,Too few to report,C,E,E,Too few to report,None entered
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,E,D,E,E,C,B,D,E,D,D,D,B,D,D,D,B,D,Too few to report,D,E,B,Too few to report,None entered
Patient-centred Domain levels: 5) Occupational therapy,E,E,C,B,B,C,C,C,A,A,C,C,C,C,C,C,C,C,B,C,C,C,C,Too few to report,C,C,B,A,None entered
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,A,B,B,B,B,B,B,B,A,B,C,B,B,B,B,A,B,B,C,B,Too few to report,B,C,B,B,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,D,D,D,E,D,B,B,B,B,C,B,B,B,C,C,B,B,Too few to report,C,D,C,C,None entered
Patient-centred Domain levels: 8) MDT working,E,E,C,C,C,D,C,B,C,C,C,B,A,D,D,D,D,D,D,E,E,E,E,Too few to report,E,E,D,E,None entered
Patient-centred Domain levels: 9) Standards by discharge,E,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,B,C,C,D,E,E,E,Too few to report,B,A,A,A,None entered
Patient-centred Domain levels: 10) Discharge processes,D,D,D,C,B,C,B,D,C,C,B,A,A,A,A,C,B,A,A,B,A,C,D,Too few to report,D,A,A,E,None entered
Patient-centred KI level Patient-centred Total KI level,E,E,D,D,D,D,D,D,D,D,C,B,B,D,C,D,C,C,C,D,D,D,D,TFP,D,D,C,TFP,No records
Patient-centred KI level Patient-centred Total KI score,26,32,46,54,54,48,58,56,56,50,60,78,70,58,66.0,58,60,64.0,64.0,48.0,54.0,54.0,46.0,.,54.0,50.0,68.0,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,D,D,D,D,C,B,D,C,D,C,C,D,D,E,D,E,TFP,D,D,D,TFP,X
Patient-centred SSNAP level Patient-centred SSNAP score,23.4,27.2,43.7,51.3,54,48,58,56,53.2,45.1,54,63,70,49.3,62.7,52.2,60,60.8,49.0,40.8,30.2,41.0,31.3,.,45.9,42.8,57.8,.,.
Team-centred Domain levels: 1) Scanning,E,E,E,D,D,C,D,C,C,D,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,D,E,E,B,A,A,B,B,B,B,A,A,A,A,A,A,Too few to report,B,A,A,A,None entered
Team-centred Domain levels: 3) Thrombolysis,E,E,D,E,E,E,C,E,E,E,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,D,E,D,E,E,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,E,C,B,B,C,C,C,A,A,C,C,D,C,C,C,C,E,E,D,C,C,C,Too few to report,D,C,C,D,None entered
Team-centred Domain levels: 6) Physiotherapy,C,C,A,A,B,B,B,A,A,B,B,B,B,C,B,B,B,B,B,B,C,D,B,Too few to report,C,D,D,D,None entered
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,D,E,D,E,E,B,B,C,C,E,C,D,C,D,E,E,E,Too few to report,E,E,E,E,None entered
Team-centred Domain levels: 8) MDT working,D,E,C,C,D,D,C,B,B,D,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,E,B,A,B,A,B,A,A,A,B,B,B,B,B,B,B,C,C,D,D,E,E,E,Too few to report,B,A,A,A,None entered
Team-centred Domain levels: 10) Discharge processes,D,D,C,C,B,C,B,C,B,C,B,A,A,A,A,C,B,A,A,B,A,C,D,Too few to report,D,A,B,E,None entered
Team-centred KI level Team-centred Total KI level,E,E,D,D,D,D,D,D,C,D,C,A,B,B,B,C,B,C,C,C,C,D,D,TFP,D,B,C,TFP,No records
Team-centred KI level Team-centred Total KI score,28,32,50,52,52,48,56,58,62,48,66.7,83.3,80,73.3,76.7,63.3,70,66.7,66.7,63.3,60.0,50.0,53.3,.,53.3,70.0,66.7,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,D,D,D,D,D,D,D,C,C,B,C,B,D,B,C,D,D,E,E,E,TFP,D,D,D,TFP,X
Team-centred SSNAP level Team-centred SSNAP score,25.2,27.2,47.5,49.4,52,48,56,58,58.9,43.3,60,67.3,80,62.3,72.8,57,70,63.3,51.0,53.8,33.6,38.0,36.3,.,45.3,59.8,56.7,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,58,79,113,121,136,144,125,95,85,55,81,82,71,44,25,27,34,28,31,57,60,66,75,75,65,60,74,81
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.98,0.98,1,1,1,0.98,0.98,0.96,0.85,0.96,0.98,0.91,0.78,59%,0.5,0.5,64%,72%,65%,79%,92%,93%,96%,99%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,2,3,11,10,2,35,60,37,28,3,2,2,5,4,5,7,5,6,5,14,18,21,8,0,0,0,1,3
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.03,0.04,0.1,0.08,0.01,0.24,0.48,0.39,0.33,0.05,0.02,0.02,0.07,9%,0.2,0.26,15%,21%,16%,25%,30%,32%,11%,0%,0%,0%,1%,4%
