SSNAP Scoring Summary:,2021-10-01,2022-01-01,2022-04-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,C,B,B,B,A,A,A,A,A
  SSNAP score,67.0,69.6,74.9,73.3,73.3,84.8,86.4,81.2,83.6,87.8
  Case ascertainment band,A,A,A,C,B,B,A,B,A,B
  Audit compliance band,D,D,B,A,A,A,A,A,A,A
  Combined Total Key Indicator level,B,A,B,A,B,A,A,A,A,A
  Combined Total Key Indicator score,78.8,81.9,78.8,86.2,77.1,89.3,86.4,85.5,83.6,92.4
Number of records completed: Team-centred post-72h all teams cohort,23,22,21,27,21,34,31,37,30,32
Patient-centred Domain levels: 2) Stroke unit,B,C,D,B,A,A,A,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,B,B,B,A,A,A,B,C,B,A
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,A,A,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,A,A,C,A,A,B,B,B
Patient-centred Domain levels: 8) MDT working,E,C,D,C,E,D,D,D,D,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,C,B,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,B,C,A,B,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,B,A,B,A,A,B,B,A
Patient-centred KI level Patient-centred Total KI score,74.3,77.1,74.3,85.7,74.3,88.6,82.9,74.3,77.1,91.4
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,B,B,B,A,A,B,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,63.1,65.6,70.6,72.9,70.6,84.1,82.9,70.6,77.1,86.9
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,A,A,B,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,B,B,C,C,C,B,B,A,C,C
Team-centred Domain levels: 9) Standards by discharge,D,C,D,B,B,C,B,B,B,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,B,C,A,B,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,83.3,86.7,83.3,86.7,80.0,90.0,90.0,96.7,90.0,93.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,B,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,70.8,73.7,79.2,73.7,76.0,85.5,90.0,91.8,90.0,88.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),64,55,46,37,37,43,57,51,57,69
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),98%,93%,88%,93%,93%,91%,90%,91%,95%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),10,17,12,11,12,13,10,6,4,16
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),16%,31%,26%,30%,32%,30%,18%,12%,7%,23%
