SSNAP Scoring Summary:,2024-04-01
SSNAP level,E
SSNAP score,35.4
Case ascertainment band,A
Audit compliance band,E
Combined Total Key Indicator level,D
Combined Total Key Indicator score,44.3
Number of records completed: Team-centred post-72h all teams cohort,36
Patient-centred Domain levels: 2) Stroke unit,E
Patient-centred Domain levels: 5) Occupational therapy,C
Patient-centred Domain levels: 6) Physiotherapy,C
Patient-centred Domain levels: 7) Speech and Language therapy,C
Patient-centred Domain levels: 8) MDT working,E
Patient-centred Domain levels: 9) Standards by discharge,B
Patient-centred Domain levels: 10) Discharge processes,D
Patient-centred KI level Patient-centred Total KI level,D
Patient-centred KI level Patient-centred Total KI score,48.6
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E
Patient-centred SSNAP level Patient-centred SSNAP score,38.9
Team-centred Domain levels: 2) Stroke unit,E
Team-centred Domain levels: 5) Occupational therapy,E
Team-centred Domain levels: 6) Physiotherapy,C
Team-centred Domain levels: 7) Speech and Language therapy,E
Team-centred Domain levels: 9) Standards by discharge,B
Team-centred Domain levels: 10) Discharge processes,D
Team-centred KI level Team-centred Total KI level,D
Team-centred KI level Team-centred Total KI score,40.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E
Team-centred SSNAP level Team-centred SSNAP score,32.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.
