SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,X,X,X,X,X,X,X,X,X,X,C,C,D,C,D,C,D,TFP,TFP,X,TFP,TFP,TFP,TFP,TFP,TFP,X,E,C,C
SSNAP score,.,.,.,.,.,.,.,.,.,.,62.3,69.8,42.6,65.7,58.9,69.3,56.4,.,.,.,.,.,.,.,.,.,.,34.3,63.3,69.2
Case ascertainment band,X,X,X,X,X,X,X,X,X,X,B,B,D,A,B,A,C,,,E,,,,,,A,E,D,A,B
Audit compliance band,X,X,X,,X,X,X,X,X,X,B,B,C,C,D,B,C,TFP,TFP,X,TFP,TFP,TFP,TFP,TFP,B,X,D,A,B
Combined Total Key Indicator level,X,X,X,X,X,X,X,X,X,X,C,B,C,B,B,B,B,TFP,TFP,X,TFP,TFP,TFP,TFP,TFP,TFP,X,D,C,B
Combined Total Key Indicator score,.,.,.,.,.,.,.,.,.,.,69,77.3,67.7,73,73.0,73,73.7,.,.,.,.,.,.,.,.,.,.,57.7,63.3,76.7
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,None completed,26,25,24,29,29,28,20,Too few to report,Too few to report,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,21,Insufficient records,44,98,76
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,A,A,A,C,A,A,A,Too few to report,Too few to report,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Insufficient records,A,B,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,D,C,D,E,D,E,D,Too few to report,Too few to report,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,A,Insufficient records,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,C,D,C,E,C,B,B,Too few to report,Too few to report,Insufficient records,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Insufficient records,D,D,C
