SSNAP Scoring Summary:,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,B,B,B,C,C,B,B,B,B,B,B,B,B
SSNAP score,76.7,77.3,71.6,63.2,69.8,73.7,77.0,70.9,79.3,74.1,76.3,76.3,78.3
Case ascertainment band,A,B,B,A,B,A,A,B,A,B,A,A,A
Audit compliance band,A,A,A,D,B,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,A,B,B,B,B,B,B,B,B,B,B,B
Combined Total Key Indicator score,76.7,81.3,75.3,74.3,77.3,73.7,77.0,74.7,79.3,78.0,76.3,76.3,78.3
Number of records completed: Team-centred post-72h all teams cohort,35,29,38,34,26,32,27,25,36,26,34,33,37
Patient-centred Domain levels: 1) Scanning,A,A,B,C,B,B,C,A,A,A,B,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,D,E,E,E,E,E,C,E,E,C,B
Patient-centred Domain levels: 3) Thrombolysis,B,B,E,C,B,C,D,E,C,C,B,E,D
Patient-centred Domain levels: 4) Specialist Assessments,A,A,A,B,A,A,A,A,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,B,B,B,B,C,B,C,C,C,B,B,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,B,C,A,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,C,C,C,D,C,C,A,B,C,C,C,C
Patient-centred Domain levels: 8) MDT working,A,A,A,A,A,B,A,A,A,A,A,B,A
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,B,A,A,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,A,B,B,B,B,B,B,A,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,80.0,86.0,74.0,72.0,78.0,74.0,74.0,76.0,82.0,76.0,76.0,76.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,B,C,B,B,B,B,A,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,80.0,81.7,70.3,61.2,70.4,74.0,74.0,72.2,82.0,72.2,76.0,76.0,80.0
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,C,B,B,C,B,C,B,C,C,C,B,B,C
Team-centred Domain levels: 6) Physiotherapy,B,B,B,B,B,C,B,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,D,D,E,D,C,E,E,D
Team-centred Domain levels: 9) Standards by discharge,B,B,B,A,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,73.3,76.7,76.7,76.7,76.7,73.3,80.0,73.3,76.7,80.0,76.7,76.7,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,C,C,B,B,C,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,73.3,72.8,72.8,65.2,69.2,73.3,80.0,69.7,76.7,76.0,76.7,76.7,76.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,6,32,46,47,44,38,32,38,41,45,50,42
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,100%,89%,90%,94%,88%,81%,76%,83%,93%,92%,93%,93%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,3,30,44,47,41,38,32,38,41,43,46,36
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,50%,94%,96%,100%,93%,100%,100%,100%,100%,96%,92%,86%
