SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01
SSNAP level,D,D,D,D,E,E,E,E,E,D
SSNAP score,40.3,43.2,51.3,46.9,38.7,31.6,27.5,28.2,27.5,41.7
Case ascertainment band,D,A,A,B,A,B,C,C,C,B
Audit compliance band,C,C,B,B,C,C,D,D,D,D
Combined Total Key Indicator level,C,D,D,D,D,E,E,E,E,D
Combined Total Key Indicator score,64,48,54,52,43,37,38,39,38,51.7
Number of records completed: Team-centred post-72h all teams cohort,70,114,101,96,108,88,81,82,84,43
Patient-centred Domain levels: 1) Scanning,B,D,D,D,D,C,B,C,C,A
Patient-centred Domain levels: 2) Stroke unit,C,C,D,D,D,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,D,C,D,D,E,E,E,D,D
Patient-centred Domain levels: 4) Specialist Assessments,C,D,D,E,E,E,E,E,E,D
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,B,C,D,D,B,C,C
Patient-centred Domain levels: 6) Physiotherapy,B,C,C,C,D,D,D,E,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,B,C,C,B,B,C,B,B,C,B
Patient-centred Domain levels: 8) MDT working,D,E,D,D,E,E,E,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,C,C,D,E,E,D,E,D,E,D
Patient-centred Domain levels: 10) Discharge processes,B,C,B,B,C,C,D,E,E,D
Patient-centred KI level Patient-centred Total KI level,C,D,D,D,D,E,E,E,E,D
Patient-centred KI level Patient-centred Total KI score,64,48,52,50,42,38,38,38,38,50
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,E,E,E,E,E,D
Patient-centred SSNAP level Patient-centred SSNAP score,40.3,43.2,49.4,45.1,37.8,32.5,27.5,27.5,27.5,40.4
Team-centred Domain levels: 1) Scanning,B,D,D,D,D,C,B,C,C,
Team-centred Domain levels: 2) Stroke unit,C,C,C,D,D,E,E,E,E,C
Team-centred Domain levels: 3) Thrombolysis,D,E,D,D,E,E,E,E,D,
Team-centred Domain levels: 4) Specialist Assessments,C,D,D,E,E,E,E,E,E,
Team-centred Domain levels: 5) Occupational therapy,C,D,C,B,C,D,D,C,C,C
Team-centred Domain levels: 6) Physiotherapy,B,C,B,C,D,E,D,D,D,D
Team-centred Domain levels: 7) Speech and Language therapy,B,C,C,B,A,C,B,B,C,B
Team-centred Domain levels: 8) MDT working,D,D,C,C,D,E,D,D,D,
Team-centred Domain levels: 9) Standards by discharge,C,C,D,D,D,D,E,D,E,C
Team-centred Domain levels: 10) Discharge processes,B,C,B,B,D,C,E,E,E,E
Team-centred KI level Team-centred Total KI level,C,D,D,D,D,E,E,D,E,D
Team-centred KI level Team-centred Total KI score,64,48,56,54,44,36,38,40,38,53.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,E,E,E,E,E,D
Team-centred SSNAP level Team-centred SSNAP score,40.3,43.2,53.2,48.7,39.6,30.8,27.5,28.9,27.5,43.1
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,64,60,94,167,174,168,171,128,111
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.97,0.94,0.96,0.97,0.95,0.93,0.94,0.96,0.9
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,3,7,4,5,9,10,16,16,10
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.05,0.12,0.04,0.03,0.05,0.06,0.09,0.13,0.09
