SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,C,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  SSNAP score,69,72,77,77.9,76,77.9,77,77,80,85,81.7,84.5,85.5,87,93.0,94,95,90.0,90.0,88.0,81.0,85.0,83.0,83.0,89.0,90.0,88.3,92.0,80.8,89.0
  Case ascertainment band,A,A,A,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A
  Audit compliance band,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A
  Combined Total Key Indicator level,C,B,B,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Combined Total Key Indicator score,69,72,77,82,80,82,77,81,80,85,86,89,90,87,93.0,94,95,90.0,90.0,88.0,81.0,85.0,83.0,83.0,89.0,90.0,93.0,92.0,85.0,89.0
Number of records completed: Team-centred post-72h all teams cohort,267,245,257,227,227,218,270,229,262,261,316,282,296,272,308,315,341,327,355,342,337,311,325,339,333,343,294,367,361,336
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,C,B,C,C,C,C,B,B,C,B,B,B,B,B,B,B,B,B,D,D,D,D,C,C,B,C,D,C
Patient-centred Domain levels: 3) Thrombolysis,A,B,A,A,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A
Patient-centred Domain levels: 4) Specialist Assessments,B,B,A,B,B,B,A,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,C,C,B,B,B,B,B,B,B,B,A,A,A,B,A,A,A,B,A,B,A,B,B,B,B,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,C,C,C,B,C,C,C,C,C,B,C,C,B,B,B,B,C,C,C,C,C,B,B,C,B,B,C,C
Patient-centred Domain levels: 8) MDT working,D,C,B,B,B,B,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,C,B,B,B,B,B,B,B,C,C,B,B,B,B,A,A,A,B,B,B,B,B,A,B,B,B,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,B,A
Patient-centred KI level Patient-centred Total KI level,B,B,B,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
