SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,X,X,X,X,X,E,E,E,E,D,D,D,D,C,B,C,B,D,C,C,D,D,C,D,C,B,B,A,B
  SSNAP score,.,.,.,.,.,27.4,30.6,25.5,27.2,48.4,52,48,58,61.0,71,68,72.0,58.0,62.7,63.0,50.3,58.9,61.0,52.3,60.8,71.0,76.0,86.0,76.0
  Case ascertainment band,X,X,X,X,X,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
  Audit compliance band,X,X,,X,X,E,D,D,D,B,A,A,A,A,A,A,A,A,B,A,B,B,A,B,B,A,A,A,A
  Combined Total Key Indicator level,X,X,X,X,X,E,E,E,E,D,D,D,D,C,B,C,B,D,C,C,D,C,C,D,C,B,B,A,B
  Combined Total Key Indicator score,.,.,.,.,.,36,36,30,32,51,52,48,58,61.0,71,68,72.0,58.0,66.0,63.0,53.0,62.0,61.0,55.0,64.0,71.0,76.0,86.0,76.0
Number of records completed: Team-centred post-72h all teams cohort,None completed,None completed,None completed,None completed,None completed,25,48,53,42,51,39,46,49,59,52,55,35,50,52,39,46,42,65,61,67,56,73,55,45
Patient-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,E,E,E,E,D,C,C,C,A,B,A,B,C,B,A,C,A,A,A,B,B,A,A,A
Patient-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,D,C,C
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,D,C,E,E,D,D,D,D,C,C,B,C,D,C,B,D,B,C,C,C,B,D,A,B
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,E,E,D,C,D,D,B,C,D,D,E,D,B,C,B,B,A,A,A
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,C,B,D,D,C,C,C,B,B,A,A,A,C,C,B,A,C,C,C,B,A,A,A,B
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,D,D,D,D,B,B,C,B,D,B,B,C,B,B,B,C,C,C,D,C,B,A,B,D
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,C,D,C,C,D,B,A,B,C,A,B,A,B,A,A,A,B,C,C,C,C,C,B,B
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,E,E,E,E,D,D,D,D,D,D,D,C,E,C,D,D,D,D,E,D,D,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,E,E,E,E,A,C,D,B,B,A,B,A,A,A,C,D,A,B,B,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,C,D,D,C,C,C,D,C,C,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,No records,No records,E,E,E,E,D,D,D,D,C,B,C,B,D,C,C,D,C,C,D,C,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,36,36,30,32,50,52,48,58,60.0,70,68,72.0,58.0,66.0,64.0,52.0,64.0,62.0,56.0,64.0,70.0,78.0,86.0,78.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,X,X,E,E,E,E,D,D,D,D,C,B,C,B,D,C,C,D,C,C,D,C,B,B,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,27.4,30.6,25.5,27.2,47.5,52,48,58,60.0,70,68,72.0,58.0,62.7,64.0,49.4,60.8,62.0,53.2,60.8,70.0,78.0,86.0,78.0
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,E,E,E,E,D,C,C,C,A,B,A,B,C,B,A,C,A,A,A,B,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,D,C,C
Team-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,D,C,E,E,D,D,D,D,B,C,B,C,D,C,B,C,C,C,C,C,B,D,A,B
Team-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,E,E,E,E,E,E,E,D,C,C,D,B,C,D,D,E,D,B,C,B,B,A,A,A
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,C,B,D,D,C,C,C,B,B,A,A,A,C,C,C,A,C,C,C,B,A,A,A,C
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,D,D,D,D,B,B,C,B,D,B,B,C,B,B,B,C,D,C,D,C,B,B,A,D
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,C,D,C,C,C,B,A,B,C,A,B,A,B,A,A,A,C,D,C,C,C,D,C,C
Team-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,E,E,E,E,D,D,D,D,D,D,D,C,E,C,D,D,C,D,E,D,C,B,B,B
