SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
  SSNAP level,E,E,E,E,E,D,D,C,D,D,D,D,D,C,C,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D
  SSNAP score,27.5,33,35.1,32.3,39.9,47,54,67,55.1,55,55,59,51.4,61,65.9,72.2,64.6,44.2,45.6,42.5,43.7,44.6,48.4,50.3,51.4,49.4,56.0,48.4,47.5,51.3
  Case ascertainment band,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,A,B,A,C,A,A,A,A,B,A,A,A,A,A
  Audit compliance band,A,A,B,B,B,A,A,A,B,A,A,A,B,A,B,A,B,B,B,A,B,B,B,B,B,B,A,B,B,B
  Combined Total Key Indicator level,E,E,E,E,D,D,D,C,D,D,D,D,D,C,B,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D
  Combined Total Key Indicator score,29,33,37,34,42,47,54,67,58,55,55,59,57,61,73.0,76,68,49.0,48.0,50.0,46.0,47.0,51.0,53.0,57.0,52.0,56.0,51.0,50.0,54.0
Number of records completed: Team-centred post-72h all teams cohort,54,83,92,104,103,74,106,100,98,100,97,104,96,112,100,105,133,100,82,95,93,85,83,78,86,98,97,109,107,82
Patient-centred Domain levels: 1) Scanning,E,E,E,E,E,C,C,B,C,B,C,D,B,C,A,A,B,B,B,B,B,A,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,D,D,D,E,E,E,D,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,E,D,D,E,D,D,C,B,B,C,D,C,C,C,B,B,C,C,C,B,C,C,C,D,C,D,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,D,D,B,B,B,B,B,C,C,B,D,C,B,D,C,D,D,D,D,C,C,B,C,B,D,D,D
Patient-centred Domain levels: 5) Occupational therapy,D,E,D,E,D,E,D,C,E,E,C,D,C,C,B,A,B,D,D,D,D,D,C,D,E,E,E,E,E,E
Patient-centred Domain levels: 6) Physiotherapy,E,D,D,E,D,E,D,C,D,D,D,C,C,C,B,A,A,D,D,D,D,D,C,B,C,D,D,D,D,C
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,C,C,E,C,E,C,C,E,E,D,D,E,E,E,E,D,E,E,D,D
Patient-centred Domain levels: 8) MDT working,E,E,D,D,D,C,B,B,A,B,A,A,B,A,A,B,B,B,B,B,C,B,B,B,B,D,C,C,D,C
Patient-centred Domain levels: 9) Standards by discharge,D,C,B,B,A,B,B,A,B,B,B,A,B,A,A,B,B,C,C,C,C,D,D,B,A,B,A,A,A,B
Patient-centred Domain levels: 10) Discharge processes,B,C,C,C,B,C,C,C,C,C,D,C,D,D,D,D,D,D,D,D,D,D,D,D,C,B,C,C,D,B
Patient-centred KI level Patient-centred Total KI level,E,E,E,E,D,D,D,C,D,D,D,C,D,C,B,B,C,D,D,D,D,D,D,D,C,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,30,32,38,34,44,46,54,66,58,56,56,60,58,62,72.0,78,68,50.0,48.0,52.0,48.0,48.0,52.0,54.0,60.0,52.0,56.0,50.0,48.0,54.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,D,D,D,C,D,D,D,C,D,C,C,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,28.5,32,36.1,32.3,41.8,46,54,66,55.1,56,56,60,52.3,62,65.0,74.1,64.6,45.1,45.6,44.2,45.6,45.6,49.4,51.3,54.2,49.4,56.0,47.5,45.6,51.3
