SSNAP Scoring Summary:,2021-10-01
  SSNAP level,X
  SSNAP score,.
  Case ascertainment band,E
  Audit compliance band,X
  Combined Total Key Indicator level,X
  Combined Total Key Indicator score,.
Number of records completed: Team-centred post-72h all teams cohort,Insufficient records
Patient-centred Domain levels: 1) Scanning,Insufficient records
Patient-centred Domain levels: 2) Stroke unit,Insufficient records
Patient-centred Domain levels: 3) Thrombolysis,Insufficient records
Patient-centred Domain levels: 4) Specialist Assessments,Insufficient records
Patient-centred Domain levels: 5) Occupational therapy,Insufficient records
Patient-centred Domain levels: 6) Physiotherapy,Insufficient records
Patient-centred Domain levels: 7) Speech and Language therapy,Insufficient records
Patient-centred Domain levels: 8) MDT working,Insufficient records
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records
Patient-centred Domain levels: 10) Discharge processes,Insufficient records
Patient-centred KI level Patient-centred Total KI level,Insufficient records
Patient-centred KI level Patient-centred Total KI score,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",X
Patient-centred SSNAP level Patient-centred SSNAP score,.
Team-centred Domain levels: 2) Stroke unit,Insufficient records
Team-centred Domain levels: 5) Occupational therapy,Insufficient records
Team-centred Domain levels: 6) Physiotherapy,Insufficient records
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records
Team-centred Domain levels: 9) Standards by discharge,Insufficient records
Team-centred Domain levels: 10) Discharge processes,Insufficient records
Team-centred KI level Team-centred Total KI level,Insufficient records
Team-centred KI level Team-centred Total KI score,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",X
Team-centred SSNAP level Team-centred SSNAP score,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.
