SSNAP Scoring Summary:,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,TFP,D,D,C,D,X,D
SSNAP score,55.3,48.4,57.2,.,56.4,49.0,62.7,59.5,.,55.5
Case ascertainment band,A,A,A,A,A,B,A,A,E,A
Audit compliance band,D,D,D,D,C,D,A,B,X,D
Combined Total Key Indicator level,C,D,C,TFP,C,C,C,C,X,C
Combined Total Key Indicator score,65.0,57.0,67.3,.,62.7,60.7,62.7,62.7,.,65.3
Number of records completed: Team-centred post-72h all teams cohort,22,21,27,22,21,35,36,29,Insufficient records,32
Patient-centred Domain levels: 1) Scanning,A,C,A,Too few to report,B,A,A,B,Insufficient records,A
Patient-centred Domain levels: 2) Stroke unit,B,C,B,A,C,C,C,D,Insufficient records,C
Patient-centred Domain levels: 3) Thrombolysis,B,C,C,Too few to report,C,D,B,E,Insufficient records,C
Patient-centred Domain levels: 4) Specialist Assessments,B,D,B,Too few to report,B,B,B,B,Insufficient records,B
Patient-centred Domain levels: 5) Occupational therapy,C,D,C,C,C,C,C,B,Insufficient records,C
Patient-centred Domain levels: 6) Physiotherapy,D,C,C,B,D,D,D,C,Insufficient records,D
Patient-centred Domain levels: 7) Speech and Language therapy,C,E,D,E,E,D,E,D,Insufficient records,E
Patient-centred Domain levels: 8) MDT working,C,D,D,D,D,E,D,C,Insufficient records,D
Patient-centred Domain levels: 9) Standards by discharge,B,A,B,C,A,D,B,B,Insufficient records,A
Patient-centred Domain levels: 10) Discharge processes,C,C,B,B,B,A,C,B,Insufficient records,B
Patient-centred KI level Patient-centred Total KI level,B,D,C,TFP,C,D,C,C,Insufficient records,C
Patient-centred KI level Patient-centred Total KI score,70.0,54.0,68.0,.,62.0,58.0,62.0,62.0,.,64.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,TFP,D,D,C,D,X,D
Patient-centred SSNAP level Patient-centred SSNAP score,59.5,45.9,57.8,.,55.8,46.8,62.0,58.9,.,54.4
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,Insufficient records,A
Team-centred Domain levels: 5) Occupational therapy,C,D,C,C,C,C,C,C,Insufficient records,C
Team-centred Domain levels: 6) Physiotherapy,D,D,D,D,E,E,D,D,Insufficient records,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,Insufficient records,E
Team-centred Domain levels: 9) Standards by discharge,B,A,A,D,A,B,A,B,Insufficient records,A
Team-centred Domain levels: 10) Discharge processes,C,C,B,B,B,A,C,B,Insufficient records,B
Team-centred KI level Team-centred Total KI level,C,C,C,TFP,C,C,C,C,Insufficient records,C
Team-centred KI level Team-centred Total KI score,60.0,60.0,66.7,.,63.3,63.3,63.3,63.3,.,66.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,TFP,D,D,C,C,X,D
Team-centred SSNAP level Team-centred SSNAP score,51.0,51.0,56.7,.,57.0,51.1,63.3,60.2,.,56.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),3,10,27,43,39,36,39,41,62,68
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),100%,100%,96%,98%,98%,97%,100%,100%,91%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),1,3,6,28,26,14,19,20,35,29
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),33%,30%,22%,65%,67%,39%,49%,49%,56%,43%
