SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,C,B,D,TFP,B,B,B,A,C,D,C,A,A,B,B,A,B,C,D,C,C,X,X,C,B,B,B,C
SSNAP score,48.9,50.9,65.9,70.8,47.6,.,78.2,72,75.1,85.8,63.5,59.5,66.9,86.1,86.9,78.2,77.8,91.5,71.1,64.5,53.8,64.3,69.2,.,.,66.6,73.1,71.7,70.5,62.2
Case ascertainment band,C,B,B,A,D,E,A,A,A,A,A,B,A,A,B,A,B,A,A,C,C,A,B,E,E,A,A,A,A,B
Audit compliance band,D,D,D,D,E,X,D,D,D,B,D,D,D,C,B,D,D,B,D,D,D,E,D,X,X,D,D,C,D,D
Combined Total Key Indicator level,C,C,A,A,A,TFP,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,A,A,X,X,B,A,B,A,B
Combined Total Key Indicator score,67.7,63,81.7,83.3,85,.,92,84.7,88.3,90.3,74.7,73.7,78.7,95.7,96.3,92,96.3,96.3,83.7,89.3,74.5,80.3,85.7,.,.,78.3,86.0,79.7,83.0,77.0
Number of records completed: Team-centred post-72h all teams cohort,39,48,51,53,26,Insufficient records,48,44,48,37,46,42,52,46,46,56,43,39,25,28,22,31,39,Insufficient records,Insufficient records,55,58,64,65,54
Patient-centred Domain levels: 1) Scanning,B,A,A,A,A,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,Insufficient records,A,B,B,A,A
Patient-centred Domain levels: 2) Stroke unit,B,B,A,A,A,Too few to report,B,B,B,A,B,C,C,B,B,B,B,B,C,C,E,C,C,Insufficient records,Insufficient records,C,C,D,E,E
Patient-centred Domain levels: 3) Thrombolysis,A,B,A,A,A,Too few to report,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,Insufficient records,Insufficient records,B,C,D,D,D
Patient-centred Domain levels: 4) Specialist Assessments,B,B,A,A,A,Too few to report,A,B,B,A,B,B,B,A,A,A,A,A,A,A,A,A,A,Insufficient records,Insufficient records,A,B,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,B,C,A,A,A,Insufficient records,A,B,A,A,A,A,A,A,A,A,A,A,C,A,C,C,B,Insufficient records,Insufficient records,A,A,A,A,C
Patient-centred Domain levels: 6) Physiotherapy,C,D,B,B,B,Insufficient records,A,A,B,B,B,B,B,A,B,B,A,A,C,B,B,B,B,Insufficient records,Insufficient records,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,A,A,A,Insufficient records,A,A,A,A,C,B,B,A,A,B,A,A,A,A,B,B,B,Insufficient records,Insufficient records,B,C,C,C,C
Patient-centred Domain levels: 8) MDT working,D,D,A,A,A,Too few to report,A,B,A,A,A,B,B,A,A,A,A,A,A,A,B,A,A,Insufficient records,Insufficient records,B,A,B,C,B
Patient-centred Domain levels: 9) Standards by discharge,B,C,B,B,C,Insufficient records,A,B,A,A,A,B,B,A,A,A,A,B,A,A,B,A,A,Insufficient records,Insufficient records,B,A,B,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,C,Insufficient records,C,C,C,C,C,B,B,A,A,A,A,A,B,B,C,C,B,Insufficient records,Insufficient records,E,B,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,C,A,A,A,TFP,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,Insufficient records,Insufficient records,B,A,B,B,B
Patient-centred KI level Patient-centred Total KI score,72,66,90,90,90,.,94,86,90,94,86,84,84,98,96.0,94,96,96.0,84.0,92.0,74.0,84.0,88.0,.,.,80.0,82.0,76.0,76.0,74.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,B,B,D,TFP,B,B,B,A,B,C,B,A,A,B,B,A,B,C,D,C,B,X,X,C,C,C,C,D
Patient-centred SSNAP level Patient-centred SSNAP score,52,53.3,72.7,76.5,50.4,.,79.9,73.1,76.5,89.3,73.1,67.8,71.4,88.2,86.6,79.9,77.5,91.2,71.4,66.5,53.5,67.2,71.1,.,.,68.0,69.7,68.4,64.6,59.8
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,Insufficient records,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,Insufficient records,Insufficient records,A,A,A,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,C,B,C,Insufficient records,A,B,A,A,E,D,C,A,A,B,B,B,C,B,C,C,B,Insufficient records,Insufficient records,A,A,A,A,B
Team-centred Domain levels: 6) Physiotherapy,D,D,C,C,B,Insufficient records,B,A,B,B,C,D,D,B,B,B,A,A,B,B,B,B,B,Insufficient records,Insufficient records,A,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,A,A,A,Insufficient records,A,A,A,A,D,C,C,B,A,B,A,A,B,B,C,C,B,Insufficient records,Insufficient records,C,C,E,C,D
Team-centred Domain levels: 9) Standards by discharge,B,C,B,B,B,Insufficient records,A,B,B,B,A,B,B,A,A,A,A,A,A,A,Too few to report,A,B,Insufficient records,Insufficient records,B,A,B,A,A
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,C,Insufficient records,C,D,C,C,C,B,A,A,A,A,A,A,B,B,Too few to report,C,B,Insufficient records,Insufficient records,E,B,A,A,A
Team-centred KI level Team-centred Total KI level,C,C,B,B,B,TFP,A,A,A,A,C,C,B,A,A,A,A,A,A,A,B,B,A,Insufficient records,Insufficient records,B,A,A,A,B
