SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,D,D,D,B,A,A,B,A,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,B,C,C,C
SSNAP score,46.8,54.9,53.9,56.9,56.7,57.9,74,83.6,87,78,86,81.7,82,86,82.0,76,78,74.0,71.0,61.8,65.5,67.0,66.0,58.9,56.0,56.0,73.0,62.0,64.0,62.0
Case ascertainment band,A,A,B,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,C,C,C,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A
Combined Total Key Indicator level,D,C,C,C,C,C,B,A,A,B,A,A,A,A,A,B,B,B,B,C,C,C,C,C,D,D,B,C,C,C
Combined Total Key Indicator score,52,61,63,63,63,61,74,88,87,78,86,86,82,86,82.0,76,78,74.0,71.0,65.0,69.0,67.0,66.0,62.0,56.0,56.0,73.0,62.0,64.0,62.0
Number of records completed: Team-centred post-72h all teams cohort,131,116,109,114,145,128,123,112,133,102,147,99,180,140,138,158,156,169,190,166,163,185,154,179,183,186,176,156,217,190
Patient-centred Domain levels: 1) Scanning,D,D,D,C,C,D,C,C,B,C,B,B,C,B,C,C,C,B,B,C,B,B,B,C,C,C,C,C,C,C
Patient-centred Domain levels: 2) Stroke unit,D,D,D,D,D,D,C,B,B,B,C,B,C,B,C,C,C,D,C,D,D,D,D,E,E,E,D,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,D,B,B,B,C,B,B,B,A,B,B,C,B,B,B,B,B,C,D,D,D,C,C,D,D,D,B,C,C,D
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,C,C,D,B,A,A,B,A,A,B,B,B,B,B,B,B,C,B,B,B,B,B,B,B,C,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,C,C,A,A,A,C
Patient-centred Domain levels: 6) Physiotherapy,C,B,A,B,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,B,B,C,B,C,D,D,B,C,D,D
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,D,D,D,D,D,B,D,D,C,C,C,C,C,D,C,C,D,C,E,E,E,D,E,E,C,D,E,C
Patient-centred Domain levels: 8) MDT working,C,C,D,D,D,D,C,B,B,C,B,B,B,B,B,C,B,B,C,C,B,C,C,C,B,C,B,C,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,A,B,B,A,B,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,B,B,B,C,B,B,B
Patient-centred Domain levels: 10) Discharge processes,B,B,B,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,C,C,C,C,C,B,A,A,B,A,A,A,A,A,B,B,B,B,C,B,C,C,C,D,D,B,C,C,C
Patient-centred KI level Patient-centred Total KI score,52,62,64,62,62,60,74,88,88,78,86,86,82,86,82.0,76,78,76.0,72.0,66.0,70.0,68.0,66.0,62.0,58.0,56.0,74.0,64.0,64.0,62.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,B,A,A,B,A,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,B,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,46.8,55.8,54.7,56,55.8,57,74,83.6,88,78,86,81.7,82,86,82.0,76,78,76.0,72.0,62.7,66.5,68.0,66.0,58.9,58.0,56.0,74.0,64.0,64.0,62.0
Team-centred Domain levels: 1) Scanning,D,D,D,C,C,D,C,C,B,C,B,B,C,B,C,C,C,B,C,C,B,B,B,C,C,C,C,C,C,C
Team-centred Domain levels: 2) Stroke unit,D,D,D,C,D,C,C,B,B,B,C,B,C,B,C,C,C,D,C,D,D,D,D,E,E,E,D,E,E,E
Team-centred Domain levels: 3) Thrombolysis,D,C,C,B,C,B,B,B,A,B,B,C,B,B,B,B,B,D,D,D,D,D,D,D,D,D,B,D,C,D
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,C,C,D,B,A,A,B,A,A,B,B,B,B,B,B,B,C,B,B,B,B,C,C,B,C,B,B
Team-centred Domain levels: 5) Occupational therapy,C,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,C,B,A,B,A,C
Team-centred Domain levels: 6) Physiotherapy,C,B,A,B,B,B,B,A,A,B,A,A,A,A,A,A,B,B,B,B,C,C,B,C,E,D,B,C,D,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,E,D,E,D,B,D,D,C,C,C,C,C,D,C,C,D,D,E,E,E,D,E,E,C,D,E,C
Team-centred Domain levels: 8) MDT working,C,C,D,D,D,D,C,B,C,C,B,B,B,B,B,C,B,C,C,C,B,C,C,C,B,C,C,C,B,B
Team-centred Domain levels: 9) Standards by discharge,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,B,B,B,B,B,B,C,B,B,B
Team-centred Domain levels: 10) Discharge processes,B,B,B,C,B,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,C,C,C,C,C,B,A,A,B,A,A,A,A,A,B,B,B,B,C,C,C,C,C,D,D,B,C,C,C
Team-centred KI level Team-centred Total KI score,52,60,62,64,64,62,74,88,86,78,86,86,82,86,82.0,76,78,72.0,70.0,64.0,68.0,66.0,66.0,62.0,54.0,56.0,72.0,60.0,64.0,62.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,D,D,B,A,A,B,A,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,B,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,46.8,54,53,57.8,57.6,58.9,74,83.6,86,78,86,81.7,82,86,82.0,76,78,72.0,70.0,60.8,64.6,66.0,66.0,58.9,54.0,56.0,72.0,60.0,64.0,62.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,1,47,147,188,205,228,234,237,187,199,207,240,259,238,263,270,311,305,316,318,320,312,299,302,304,300,318,284,264
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0,0.22,0.7,1,1,1,1,1,1,1,1,1,1,100%,1,1,99%,99%,99%,100%,99%,99%,99%,99%,99%,99%,98%,89%,87%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,1,0,0,0,0,0,0,0,0,1,0,0,1,4,6,1,3,7,5,5,8,7,6,9,10,63,81,86
