SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2022-04-01,2023-04-01,2023-10-01,2024-04-01
  SSNAP level,B,A,B,A,A,B,A,B,D,C,TFP
  SSNAP score,78.3,81.9,79.7,86.4,84.8,77.4,87.9,74.6,47.6,63.2,.
  Case ascertainment band,A,A,C,A,A,A,A,B,D,B,D
  Audit compliance band,A,B,A,A,A,B,A,A,D,E,C
  Combined Total Key Indicator level,B,A,A,A,A,A,A,B,B,A,TFP
  Combined Total Key Indicator score,78.3,86.2,93.8,86.4,84.8,81.4,87.9,78.6,80.0,83.1,.
Number of records completed: Team-centred post-72h all teams cohort,32,22,23,28,20,24,27,21,22,23,22
Patient-centred Domain levels: 2) Stroke unit,A,A,A,B,A,B,A,A,A,B,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,B,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,B,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,A,B,A,A,A,A,A,C,C,B,Too few to report
Patient-centred Domain levels: 8) MDT working,E,B,A,D,D,C,D,E,D,C,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,B,B,B,A,B,A,Too few to report
Patient-centred Domain levels: 10) Discharge processes,C,C,B,C,C,C,B,C,B,A,Too few to report
Patient-centred KI level Patient-centred Total KI level,B,A,A,A,A,A,A,B,B,A,TFP
Patient-centred KI level Patient-centred Total KI score,80,85.7,94.3,82.9,82.9,82.9,85.7,77.1,80.0,82.9,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,A,A,A,B,A,B,D,C,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,80,81.4,80.1,82.9,82.9,78.7,85.7,73.3,47.6,63.0,.
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,C,A,B,B,D,B,D,E,D,C
Team-centred Domain levels: 9) Standards by discharge,B,A,B,A,B,B,B,B,B,A,Too few to report
Team-centred Domain levels: 10) Discharge processes,C,C,B,C,C,C,B,C,B,A,Too few to report
Team-centred KI level Team-centred Total KI level,B,A,A,A,A,B,A,B,B,A,TFP
Team-centred KI level Team-centred Total KI score,76.7,86.7,93.3,90,86.7,80,90,80.0,80.0,83.3,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,A,B,A,A,B,A,B,D,C,TFP
Team-centred SSNAP level Team-centred SSNAP score,76.7,82.3,79.3,90,86.7,76,90,76.0,47.6,63.3,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),37,43,49,47,38,47,52,61,43,55,55
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.88,0.9,0.88,0.92,97%,0.96,0.98,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),11,10,7,4,3,6,2,0,0,1,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.3,0.23,0.14,0.09,8%,0.13,0.04,0%,0%,2%,2%
