SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
SSNAP level,D,D,D,C,C,D,C,C,D,D,D,D,C,C,D,D,D,C,C,C,D,D,D,C,B,A,A,B,C,B
SSNAP score,47,49,56,66,62,50,64,60,56,50,57,52.2,65.9,63.7,45.6,53.2,59.8,60.5,62.7,62.0,56.0,58.0,56.9,67.0,76.0,81.0,82.0,79.0,69.0,72.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A
Audit compliance band,A,A,A,A,A,A,A,A,A,A,B,C,B,B,B,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A
Combined Total Key Indicator level,D,D,D,C,C,D,C,C,D,D,C,D,B,C,D,D,C,C,C,C,D,D,C,C,B,A,A,B,C,B
Combined Total Key Indicator score,47,49,56,66,62,50,64,60,56,50,60,58,73,67,48.0,56,63,67.0,66.0,62.0,56.0,58.0,63.0,67.0,76.0,81.0,82.0,79.0,69.0,72.0
Number of records completed: Team-centred post-72h all teams cohort,168,178,176,170,159,162,135,146,157,128,217,225,215,249,233,197,246,230,269,281,272,255,227,252,260,312,300,277,317,306
Patient-centred Domain levels: 1) Scanning,C,B,B,B,B,B,B,B,B,C,C,B,B,B,D,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,D,C,C,C,C,D,C,C,D,D,C,C,C,C,D,D,D,E,E,E,E,E,E,E,E,D,D,D,E,D
Patient-centred Domain levels: 3) Thrombolysis,C,C,B,A,B,C,B,B,C,B,C,D,C,C,D,E,C,D,E,E,E,D,D,C,D,C,B,C,C,B
Patient-centred Domain levels: 4) Specialist Assessments,D,D,D,C,C,D,D,D,D,D,D,D,B,C,C,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B
Patient-centred Domain levels: 5) Occupational therapy,D,E,D,C,C,D,C,B,C,D,A,A,A,B,C,C,C,B,B,B,C,C,C,B,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,C,D,D,B,C,D,B,B,B,C,A,B,B,B,B,C,B,B,B,B,B,B,B,B,A,A,A,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,C,C,D,D,D,D,D,C,C,D,E,E,D,D,C,C,C,C,D,D
Patient-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,C,C,D,C,C,B,B,B,B,C,C
Patient-centred Domain levels: 9) Standards by discharge,D,D,C,B,C,C,B,D,C,D,E,E,B,B,E,D,D,C,C,D,E,C,B,B,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,C,B,A,A,A,B,A,A,B,B,C,D,A,B,B,A,A,A,A,A,A,A,B,B,A,B,B,C,B,B
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,C,D,C,C,D,D,C,D,B,C,D,D,C,C,C,C,D,D,C,C,B,A,A,B,B,B
Patient-centred KI level Patient-centred Total KI score,46,48,56,68,62,50,64,62,56,50,60,56,72,66,50.0,56,64,68.0,66.0,62.0,56.0,58.0,62.0,68.0,78.0,82.0,84.0,80.0,72.0,74.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,C,C,D,C,C,D,D,D,D,C,C,D,D,C,C,C,C,D,D,D,C,B,A,A,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,46,48,56,68,62,50,64,62,56,50,57,50.4,65,62.7,47.5,53.2,60.8,61.4,62.7,62.0,56.0,58.0,56.0,68.0,78.0,82.0,84.0,80.0,72.0,74.0
Team-centred Domain levels: 1) Scanning,C,B,B,B,B,B,B,B,B,C,C,B,B,B,D,B,B,A,A,A,A,B,B,A,A,A,A,A,A,A
