SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01
SSNAP level,E,X,E,D,C,D,E,D,D,E,X,TFP
SSNAP score,20.2,.,33.3,48.4,69.8,48.4,37.6,52.8,56.4,37.3,.,.
Case ascertainment band,B,D,B,A,B,C,A,A,A,C,E,
Audit compliance band,D,X,C,D,B,C,E,C,C,D,X,TFP
Combined Total Key Indicator level,E,X,E,D,B,C,D,D,C,D,X,TFP
Combined Total Key Indicator score,25,.,39,57,77.3,63.3,47,58.7,62.7,51.7,.,.
Number of records completed: Team-centred post-72h all teams cohort,60,Insufficient records,43,53,34,42,59,49,49,32,Insufficient records,Too few to report
Patient-centred Domain levels: 1) Scanning,D,,D,C,C,C,C,D,A,A,Insufficient records,Too few to report
Patient-centred Domain levels: 2) Stroke unit,E,Insufficient records,D,C,C,E,E,E,D,E,Insufficient records,Too few to report
Patient-centred Domain levels: 3) Thrombolysis,E,,E,B,C,D,D,D,E,C,Insufficient records,Too few to report
Patient-centred Domain levels: 4) Specialist Assessments,D,,D,A,A,B,C,D,C,B,Insufficient records,Too few to report
Patient-centred Domain levels: 5) Occupational therapy,E,Insufficient records,E,C,A,B,B,B,B,C,Insufficient records,Too few to report
Patient-centred Domain levels: 6) Physiotherapy,E,Insufficient records,D,C,B,B,B,B,B,C,Insufficient records,Too few to report
Patient-centred Domain levels: 7) Speech and Language therapy,E,Insufficient records,E,E,C,E,E,E,E,C,Insufficient records,Too few to report
Patient-centred Domain levels: 8) MDT working,D,Insufficient records,D,C,B,D,C,D,D,D,Insufficient records,Too few to report
Patient-centred Domain levels: 9) Standards by discharge,E,Insufficient records,E,D,B,B,B,B,B,B,Insufficient records,Too few to report
Patient-centred Domain levels: 10) Discharge processes,E,Insufficient records,A,A,A,A,C,A,A,D,Insufficient records,Too few to report
Patient-centred KI level Patient-centred Total KI level,E,Insufficient records,E,C,B,C,D,D,C,C,Insufficient records,TFP
Patient-centred KI level Patient-centred Total KI score,26,.,38,64,78,60,56,54,62,60,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,,E,D,B,D,D,D,D,D,X,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,21,.,32.5,54.4,70.4,45.9,44.8,48.6,55.8,43.4,.,.
Team-centred Domain levels: 1) Scanning,E,Too few to report,,,,,E,,,,,
Team-centred Domain levels: 2) Stroke unit,E,Too few to report,C,A,A,C,E,D,C,D,Insufficient records,Too few to report
Team-centred Domain levels: 3) Thrombolysis,E,Too few to report,,,,,E,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,Too few to report,,,,,E,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,Insufficient records,E,E,B,B,C,C,C,D,Insufficient records,Too few to report
Team-centred Domain levels: 6) Physiotherapy,E,Insufficient records,E,D,B,C,C,B,C,D,Insufficient records,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,E,Insufficient records,E,E,E,E,E,E,E,E,Insufficient records,Too few to report
Team-centred Domain levels: 8) MDT working,E,Too few to report,,,,,E,,,,,
Team-centred Domain levels: 9) Standards by discharge,D,Insufficient records,E,E,B,B,B,B,B,B,Insufficient records,Too few to report
Team-centred Domain levels: 10) Discharge processes,D,Insufficient records,A,A,A,A,C,A,A,D,Insufficient records,Too few to report
Team-centred KI level Team-centred Total KI level,E,Too few to report,D,D,B,C,E,C,C,D,Insufficient records,TFP
Team-centred KI level Team-centred Total KI score,24,.,40,50,76.7,66.7,38,63.3,63.3,43.3,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,,E,D,C,D,E,D,D,E,X,TFP
Team-centred SSNAP level Team-centred SSNAP score,19.4,.,34.2,42.5,69.2,51,30.4,57,57,31.3,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,.,75,77,67,72,78,65,43,46,58,19
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,.,1,1,1,1,0.98,0.89,0.7,0.7,0.89,0.86
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,.,0,0,0,21,27,23,23,30,23,5
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,.,0,0,0,0.29,0.35,0.35,0.53,0.65,0.4,0.26
