0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital,Darent Valley Hospital
SSNAP level,C,B,B,B,B,C,C,B,B,B,C,B,B
SSNAP score,64.6,73.0,70.0,73.0,75.0,67.5,64.6,73.1,76.0,74.0,66.5,74.0,78.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,B,A,A,A,A,B,B,B,A,A,B,A,A
Combined Total Key Indicator level,C,B,B,B,B,B,C,B,B,B,B,B,B
Combined Total Key Indicator score,68.0,73.0,70.0,73.0,75.0,71.0,68.0,77.0,76.0,74.0,70.0,74.0,78.0
Number of records completed: Team-centred post-72h all teams cohort,142,140,142,137,129,127,121,135,133,140,162,147,118
Patient-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 2) Stroke unit,C,E,E,E,E,E,E,D,D,D,E,E,D
Patient-centred Domain levels: 3) Thrombolysis,D,C,C,C,C,C,D,C,C,C,D,C,B
Patient-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,A,A,B,A,A
Patient-centred Domain levels: 5) Occupational therapy,C,A,A,A,B,B,B,A,A,A,A,B,B
Patient-centred Domain levels: 6) Physiotherapy,C,B,B,A,A,A,B,A,A,A,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,E,D,B,B,C,C,C,C,C,B,C
Patient-centred Domain levels: 8) MDT working,C,B,B,B,B,B,B,A,B,C,B,B,A
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,A,A,A,A,A,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,C,D,D,D,D,D,C,C,B
Patient-centred KI level Patient-centred Total KI level,C,B,B,B,B,B,C,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,66.0,74.0,70.0,74.0,76.0,74.0,68.0,78.0,76.0,74.0,70.0,74.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,B,B,B,B,B,C,B,B,B,C,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,62.7,74.0,70.0,74.0,76.0,70.3,64.6,74.1,76.0,74.0,66.5,74.0,80.0
Team-centred Domain levels: 1) Scanning,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,E,E,E,E,E,E,D,D,D,E,E,D
Team-centred Domain levels: 3) Thrombolysis,D,C,C,D,C,D,D,C,C,D,D,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,A,A,B,A,A
Team-centred Domain levels: 5) Occupational therapy,C,B,A,A,B,C,A,A,A,A,A,B,B
Team-centred Domain levels: 6) Physiotherapy,C,B,B,A,A,A,B,A,A,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,E,D,C,C,C,C,C,C,C,B,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,A,B,B,B
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,C,C,C,D,E,D,D,D,C,C,C
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,C,C,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,70.0,72.0,70.0,72.0,74.0,68.0,68.0,76.0,76.0,74.0,70.0,74.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,B,B,B,B,C,C,B,B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,66.5,72.0,70.0,72.0,74.0,64.6,64.6,72.2,76.0,74.0,66.5,74.0,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),156,205,253,253,245,224,198,168,180,179,200,213,201
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),97%,96%,98%,98%,97%,95%,88%,78%,78%,77%,80%,87%,81%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),37,35,44,47,51,52,58,57,57,42,55,51,50
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),24%,17%,17%,19%,21%,23%,29%,34%,32%,23%,28%,24%,25%
