0,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital,Blackpool Victoria Hospital
SSNAP level,B,D,D,D,C,D,D,B,B,B,B,B,B
SSNAP score,71.0,58.0,59.0,50.3,64.0,55.0,59.0,72.0,72.0,77.0,72.0,73.0,76.0
Case ascertainment band,A,A,A,A,A,A,A,A,A,A,A,A,A
Audit compliance band,A,A,A,B,A,A,A,A,A,A,A,A,A
Combined Total Key Indicator level,B,D,D,D,C,D,D,B,B,B,B,B,B
Combined Total Key Indicator score,71.0,58.0,59.0,53.0,64.0,55.0,59.0,72.0,72.0,77.0,72.0,73.0,76.0
Number of records completed: Team-centred post-72h all teams cohort,160,170,158,134,129,175,163,157,165,166,173,167,160
Patient-centred Domain levels: 1) Scanning,B,C,B,C,B,B,B,A,A,A,B,A,A
Patient-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,D,E,D,E,E,E
Patient-centred Domain levels: 3) Thrombolysis,C,D,D,D,C,D,C,B,C,C,D,D,C
Patient-centred Domain levels: 4) Specialist Assessments,A,B,B,D,D,D,D,B,B,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,C,C,C,C,A,C,C,B,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,C,D,D,C,B,C,C,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,E,E,E,E,E,E,E,E,C,C,C,C
Patient-centred Domain levels: 8) MDT working,B,C,D,D,D,D,D,C,C,C,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,B,A,A,B,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,D,D,D,C,D,D,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,72.0,58.0,58.0,52.0,64.0,56.0,58.0,74.0,72.0,78.0,72.0,74.0,76.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,D,D,D,C,D,D,B,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,72.0,58.0,58.0,49.4,64.0,56.0,58.0,74.0,72.0,78.0,72.0,74.0,76.0
Team-centred Domain levels: 1) Scanning,B,C,B,C,B,B,B,A,A,A,B,A,A
Team-centred Domain levels: 2) Stroke unit,D,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,D,D,D,C,D,C,C,C,C,D,D,C
Team-centred Domain levels: 4) Specialist Assessments,A,B,B,D,D,D,D,B,B,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,C,C,C,C,A,C,C,B,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,D,D,C,B,D,C,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,D,E,E,E,E,E,E,E,E,C,C,D,C
Team-centred Domain levels: 8) MDT working,B,C,C,C,D,D,C,C,C,C,C,C,C
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,B,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,D,C,D,C,D,C,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,70.0,58.0,60.0,54.0,64.0,54.0,60.0,70.0,72.0,76.0,72.0,72.0,76.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,D,C,D,C,D,C,B,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,70.0,58.0,60.0,51.3,64.0,54.0,60.0,70.0,72.0,76.0,72.0,72.0,76.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),100,150,181,159,139,140,137,135,177,175,165,189,185
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),63%,71%,69%,67%,64%,63%,68%,67%,77%,81%,75%,78%,76%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),83,106,135,132,114,119,119,96,121,117,99,102,84
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),83%,71%,75%,83%,82%,85%,87%,71%,68%,67%,60%,54%,45%
